"opt_k","trial","cde","sujeto","sesion","phase","cum_trial"
4,1,2,"M333",26,"aco",10
4,1,1,"M333",26,"aco",9
4,1,1,"M333",26,"aco",10
4,1,2,"M326",25,"aco",13
3,1,2,"M326",25,"aco",14
2,1,1,"M326",25,"aco",11
3,1,2,"M327",25,"aco",11
3,1,2,"M327",25,"aco",12
2,1,1,"M327",25,"aco",5
4,1,2,"M328",25,"aco",10
1,1,2,"M328",25,"aco",11
4,1,1,"M328",25,"aco",9
2,1,1,"M328",25,"aco",10
3,1,2,"M329",25,"aco",11
1,1,2,"M329",25,"aco",12
4,1,1,"M329",25,"aco",11
4,1,1,"M329",25,"aco",12
3,1,2,"M330",25,"aco",11
3,1,2,"M330",25,"aco",12
1,1,1,"M330",25,"aco",13
2,1,1,"M330",25,"aco",14
4,1,2,"M331",25,"aco",10
4,1,2,"M331",25,"aco",11
4,1,2,"M331",25,"aco",12
3,1,1,"M331",25,"aco",10
3,1,1,"M331",25,"aco",11
4,1,2,"M332",25,"aco",12
4,1,2,"M332",25,"aco",13
3,1,1,"M332",25,"aco",13
1,1,1,"M332",25,"aco",14
3,1,2,"M333",25,"aco",11
3,1,2,"M333",25,"aco",12
4,1,1,"M333",25,"aco",11
2,1,1,"M333",25,"aco",12
4,1,2,"M326",24,"aco",15
3,1,2,"M326",24,"aco",16
4,1,1,"M326",24,"aco",12
4,1,2,"M327",24,"aco",13
4,1,2,"M327",24,"aco",14
3,1,2,"M327",24,"aco",15
4,1,1,"M327",24,"aco",6
3,1,2,"M329",24,"aco",13
4,1,2,"M329",24,"aco",14
4,1,1,"M329",24,"aco",13
2,1,1,"M329",24,"aco",14
3,1,2,"M330",24,"aco",13
3,1,2,"M330",24,"aco",14
2,1,1,"M330",24,"aco",15
2,1,1,"M330",24,"aco",16
4,1,2,"M331",24,"aco",13
4,1,2,"M332",24,"aco",14
4,1,2,"M332",24,"aco",15
4,1,2,"M332",24,"aco",16
4,1,1,"M332",24,"aco",15
2,1,1,"M332",24,"aco",16
3,1,2,"M333",24,"aco",13
3,1,2,"M333",24,"aco",14
2,1,1,"M333",24,"aco",13
4,1,1,"M333",24,"aco",14
4,1,2,"M326",23,"aco",17
4,1,2,"M326",23,"aco",18
2,1,1,"M326",23,"aco",13
4,1,1,"M326",23,"aco",14
3,1,2,"M327",23,"aco",16
3,1,2,"M327",23,"aco",17
2,1,1,"M327",23,"aco",7
4,1,1,"M327",23,"aco",8
4,1,2,"M328",23,"aco",12
4,1,2,"M328",23,"aco",13
2,1,1,"M328",23,"aco",11
4,1,1,"M328",23,"aco",12
4,1,2,"M329",23,"aco",15
3,1,2,"M329",23,"aco",16
2,1,1,"M329",23,"aco",15
2,1,1,"M329",23,"aco",16
4,1,2,"M330",23,"aco",15
4,1,2,"M330",23,"aco",16
2,1,1,"M330",23,"aco",17
4,1,1,"M330",23,"aco",18
4,1,2,"M331",23,"aco",14
4,1,2,"M331",23,"aco",15
4,1,1,"M331",23,"aco",12
4,1,1,"M331",23,"aco",13
4,1,1,"M331",23,"aco",14
4,1,2,"M332",23,"aco",17
3,1,2,"M332",23,"aco",18
4,1,2,"M332",23,"aco",19
3,1,1,"M332",23,"aco",17
4,1,1,"M332",23,"aco",18
3,1,2,"M333",23,"aco",15
3,1,2,"M333",23,"aco",16
4,1,1,"M333",23,"aco",15
4,1,1,"M333",23,"aco",16
4,1,2,"M326",39,"training",1
4,1,2,"M326",39,"training",2
4,1,1,"M326",39,"training",1
1,1,1,"M326",39,"training",2
3,1,2,"M327",39,"training",1
1,1,2,"M327",39,"training",2
4,1,1,"M327",39,"training",1
1,1,1,"M327",39,"training",2
4,1,2,"M328",39,"training",1
3,1,2,"M328",39,"training",2
3,1,1,"M328",39,"training",1
4,1,1,"M328",39,"training",2
4,1,1,"M328",39,"training",3
2,1,2,"M332",39,"training",1
1,1,2,"M332",39,"training",2
3,1,2,"M332",39,"training",3
4,1,1,"M332",39,"training",1
3,1,1,"M332",39,"training",2
4,1,2,"M333",39,"training",1
1,1,2,"M333",39,"training",2
3,1,1,"M333",39,"training",1
1,1,1,"M333",39,"training",2
3,1,1,"M326",38,"training",3
3,1,2,"M327",38,"training",3
3,1,2,"M327",38,"training",4
1,1,1,"M327",38,"training",3
3,1,1,"M327",38,"training",4
1,1,1,"M327",38,"training",5
1,1,2,"M328",38,"training",3
1,1,2,"M328",38,"training",4
3,1,2,"M328",38,"training",5
4,1,1,"M328",38,"training",4
4,1,1,"M328",38,"training",5
3,1,2,"M329",38,"training",1
3,1,2,"M329",38,"training",2
3,1,1,"M329",38,"training",1
3,1,2,"M330",38,"training",1
2,1,2,"M330",38,"training",2
4,1,1,"M330",38,"training",1
3,1,1,"M330",38,"training",2
4,1,2,"M331",38,"training",1
1,1,2,"M331",38,"training",2
1,1,1,"M331",38,"training",1
3,1,1,"M331",38,"training",2
4,1,2,"M332",38,"training",4
4,1,1,"M332",38,"training",3
4,1,2,"M333",38,"training",3
3,1,2,"M333",38,"training",4
1,1,2,"M333",38,"training",5
4,1,1,"M333",38,"training",3
3,1,1,"M333",38,"training",4
4,1,2,"M326",37,"training",3
