"Delay","Immediate","phase"
60.1,60.1,"Baseline"
60.1,60.1,"Baseline"
60.1,60.1,"Baseline"
60.1,60.1,"Baseline"
60.1000000000001,60.1,"Baseline"
60.1000000000001,60.1,"Baseline"
60.1000000000004,60.1,"Baseline"
60.1999999999998,60.1,"Baseline"
60.1999999999998,60.1000000000004,"Baseline"
60.1999999999998,60.1000000000004,"Baseline"
60.1999999999998,60.1000000000004,"Baseline"
60.1999999999998,60.1999999999998,"Baseline"
60.1999999999999,60.1999999999998,"Baseline"
60.1999999999999,60.1999999999999,"Baseline"
60.1999999999999,60.2,"Baseline"
60.1999999999999,60.2,"Baseline"
60.2,60.2,"Baseline"
60.2,60.2,"Baseline"
60.2,60.2,"Baseline"
60.2,60.2,"Baseline"
60.2,60.2,"Baseline"
60.2,60.2,"Baseline"
60.2,60.2000000000003,"Baseline"
60.2999999999997,60.2999999999997,"Baseline"
60.2999999999997,60.2999999999997,"Baseline"
60.2999999999997,60.2999999999997,"Baseline"
60.2999999999997,60.2999999999997,"Baseline"
60.2999999999997,60.2999999999997,"Baseline"
60.3,60.2999999999997,"Baseline"
60.3,60.3,"Baseline"
60.3,60.3,"Baseline"
60.3,60.3,"Baseline"
60.3,60.3,"Baseline"
60.3000000000001,60.3,"Baseline"
60.3000000000001,60.3,"Baseline"
60.3000000000002,60.3,"Baseline"
60.3000000000002,60.3,"Baseline"
60.3000000000002,60.3,"Baseline"
60.3000000000002,60.3,"Baseline"
60.3000000000002,60.3000000000001,"Baseline"
60.3000000000002,60.3000000000002,"Baseline"
60.3000000000002,60.3999999999996,"Baseline"
60.3000000000002,60.4,"Baseline"
60.3999999999999,60.4,"Baseline"
60.3999999999999,60.4,"Baseline"
60.4,60.4,"Baseline"
60.4,60.4,"Baseline"
60.4000000000001,60.4,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.5,"Baseline"
60.4000000000001,60.5,"Baseline"
60.5,60.5,"Baseline"
60.5,60.5,"Baseline"
60.5,60.5,"Baseline"
60.5,60.5,"Baseline"
60.5,60.5999999999999,"Baseline"
60.5,60.5999999999999,"Baseline"
60.5999999999999,60.6,"Baseline"
60.5999999999999,60.6,"Baseline"
60.5999999999999,60.6000000000001,"Baseline"
60.6,60.6000000000001,"Baseline"
60.6,60.6000000000004,"Baseline"
60.6,60.6999999999998,"Baseline"
60.6000000000001,60.6999999999998,"Baseline"
60.6999999999998,60.7,"Baseline"
60.6999999999998,60.8,"Baseline"
60.6999999999998,60.8,"Baseline"
60.6999999999998,60.8,"Baseline"
60.6999999999998,60.8,"Baseline"
60.7,60.8,"Baseline"
60.7,60.9,"Baseline"
60.7,60.9,"Baseline"
60.7,60.9000000000001,"Baseline"
60.7,60.9000000000001,"Baseline"
60.7,60.9000000000001,"Baseline"
60.7000000000003,61,"Baseline"
60.7000000000003,61,"Baseline"
60.8,61,"Baseline"
60.8,61,"Baseline"
60.8000000000001,61,"Baseline"
60.8000000000002,61,"Baseline"
60.8999999999996,61,"Baseline"
60.8999999999996,61.0999999999999,"Baseline"
60.8999999999999,61.1,"Baseline"
60.9000000000001,61.1,"Baseline"
60.9000000000001,61.1999999999998,"Baseline"
60.9000000000001,61.1999999999998,"Baseline"
61,61.1999999999998,"Baseline"
61,61.2,"Baseline"
61,61.2,"Baseline"
61,61.2,"Baseline"
61,61.2,"Baseline"
61.0999999999999,61.2999999999997,"Baseline"
61.0999999999999,61.3,"Baseline"
61.1000000000001,61.3,"Baseline"
61.1999999999998,61.3000000000002,"Baseline"
61.2,61.3000000000002,"Baseline"
61.2,61.3000000000002,"Baseline"
61.2,61.3999999999999,"Baseline"
