"t";"evento";"sujeto";"fase";"sesion"
0;12;"M332";"acq";3
0;12;"M332";"acq";3
0;12;"M332";"acq";3
0;12;"M332";"acq";3
0;12;"M332";"acq";3
0;12;"M332";"acq";3
0;12;"M332";"acq";3
0;12;"M332";"acq";3
0;12;"M332";"acq";3
0;12;"M332";"acq";3
0;12;"M332";"acq";3
0;12;"M332";"acq";3
0;12;"M332";"acq";3
0;51;"M332";"acq";3
23;12;"M332";"acq";3
24;12;"M332";"acq";3
28;12;"M332";"acq";3
38;12;"M332";"acq";3
40;12;"M332";"acq";3
42;12;"M332";"acq";3
44;12;"M332";"acq";3
61;12;"M332";"acq";3
62;12;"M332";"acq";3
64;12;"M332";"acq";3
64;12;"M332";"acq";3
66;12;"M332";"acq";3
85;12;"M332";"acq";3
89;12;"M332";"acq";3
91;12;"M332";"acq";3
92;12;"M332";"acq";3
93;12;"M332";"acq";3
94;12;"M332";"acq";3
95;12;"M332";"acq";3
97;12;"M332";"acq";3
100;12;"M332";"acq";3
151;12;"M332";"acq";3
164;12;"M332";"acq";3
166;12;"M332";"acq";3
169;12;"M332";"acq";3
171;12;"M332";"acq";3
173;12;"M332";"acq";3
176;12;"M332";"acq";3
201;12;"M332";"acq";3
205;12;"M332";"acq";3
208;12;"M332";"acq";3
210;12;"M332";"acq";3
215;12;"M332";"acq";3
222;12;"M332";"acq";3
225;12;"M332";"acq";3
227;12;"M332";"acq";3
475;11;"M332";"acq";3
526;11;"M332";"acq";3
532;12;"M332";"acq";3
533;12;"M332";"acq";3
541;12;"M332";"acq";3
550;12;"M332";"acq";3
555;12;"M332";"acq";3
558;12;"M332";"acq";3
635;11;"M332";"acq";3
635;21;"M332";"acq";3
636;11;"M332";"acq";3
639;12;"M332";"acq";3
685;31;"M332";"acq";3
785;51;"M332";"acq";3
1020;12;"M332";"acq";3
1027;12;"M332";"acq";3
1029;12;"M332";"acq";3
1059;12;"M332";"acq";3
1061;12;"M332";"acq";3
1066;12;"M332";"acq";3
1070;12;"M332";"acq";3
1083;12;"M332";"acq";3
1085;12;"M332";"acq";3
1097;12;"M332";"acq";3
1098;12;"M332";"acq";3
1100;12;"M332";"acq";3
1112;12;"M332";"acq";3
1199;12;"M332";"acq";3
1232;12;"M332";"acq";3
1258;12;"M332";"acq";3
1260;12;"M332";"acq";3
1262;12;"M332";"acq";3
1266;12;"M332";"acq";3
1268;12;"M332";"acq";3
1270;12;"M332";"acq";3
1278;12;"M332";"acq";3
1280;12;"M332";"acq";3
1305;12;"M332";"acq";3
1308;12;"M332";"acq";3
1310;12;"M332";"acq";3
1312;12;"M332";"acq";3
1333;12;"M332";"acq";3
1351;12;"M332";"acq";3
1353;12;"M332";"acq";3
1391;12;"M332";"acq";3
1411;12;"M332";"acq";3
1416;12;"M332";"acq";3
1423;12;"M332";"acq";3
1425;12;"M332";"acq";3
1473;12;"M332";"acq";3
1485;12;"M332";"acq";3
1509;12;"M332";"acq";3
1511;12;"M332";"acq";3
1514;12;"M332";"acq";3
1516;12;"M332";"acq";3
1518;12;"M332";"acq";3
1534;12;"M332";"acq";3
1536;12;"M332";"acq";3
1538;12;"M332";"acq";3
1541;12;"M332";"acq";3
1543;12;"M332";"acq";3
1563;12;"M332";"acq";3
1566;12;"M332";"acq";3
1635;12;"M332";"acq";3
1636;12;"M332";"acq";3
1657;11;"M332";"acq";3
1657;21;"M332";"acq";3
1659;11;"M332";"acq";3
1661;12;"M332";"acq";3
1707;31;"M332";"acq";3
1807;5;"M332";"acq";3
2129;12;"M332";"acq";3
2129;12;"M332";"acq";3
2145;12;"M332";"acq";3
2147;12;"M332";"acq";3
2177;1;"M332";"acq";3
2183;1;"M332";"acq";3
2198;12;"M332";"acq";3
2199;12;"M332";"acq";3
2200;12;"M332";"acq";3
2210;12;"M332";"acq";3
2218;12;"M332";"acq";3
2261;12;"M332";"acq";3
2271;12;"M332";"acq";3
2279;12;"M332";"acq";3
2280;12;"M332";"acq";3
2360;1;"M332";"acq";3
2372;12;"M332";"acq";3
2376;12;"M332";"acq";3
2394;1;"M332";"acq";3
2400;1;"M332";"acq";3
2416;1;"M332";"acq";3
2416;2;"M332";"acq";3
2422;12;"M332";"acq";3
2466;3;"M332";"acq";3
2566;5;"M332";"acq";3
