"t";"evento";"sujeto";"fase";"sesion"
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;12;"M328";"acq";6
0;51;"M328";"acq";6
17;12;"M328";"acq";6
21;12;"M328";"acq";6
33;11;"M328";"acq";6
172;12;"M328";"acq";6
255;12;"M328";"acq";6
269;12;"M328";"acq";6
277;12;"M328";"acq";6
312;12;"M328";"acq";6
314;12;"M328";"acq";6
320;11;"M328";"acq";6
365;12;"M328";"acq";6
367;12;"M328";"acq";6
394;11;"M328";"acq";6
401;11;"M328";"acq";6
409;11;"M328";"acq";6
427;11;"M328";"acq";6
436;11;"M328";"acq";6
517;11;"M328";"acq";6
526;11;"M328";"acq";6
534;11;"M328";"acq";6
543;11;"M328";"acq";6
555;11;"M328";"acq";6
573;11;"M328";"acq";6
585;11;"M328";"acq";6
629;12;"M328";"acq";6
637;11;"M328";"acq";6
637;21;"M328";"acq";6
647;12;"M328";"acq";6
687;31;"M328";"acq";6
765;12;"M328";"acq";6
770;12;"M328";"acq";6
770;12;"M328";"acq";6
773;12;"M328";"acq";6
787;5;"M328";"acq";6
806;12;"M328";"acq";6
810;12;"M328";"acq";6
826;12;"M328";"acq";6
829;12;"M328";"acq";6
835;12;"M328";"acq";6
859;12;"M328";"acq";6
865;12;"M328";"acq";6
866;12;"M328";"acq";6
869;12;"M328";"acq";6
872;12;"M328";"acq";6
874;12;"M328";"acq";6
877;12;"M328";"acq";6
880;12;"M328";"acq";6
911;12;"M328";"acq";6
912;12;"M328";"acq";6
922;12;"M328";"acq";6
924;12;"M328";"acq";6
933;12;"M328";"acq";6
938;12;"M328";"acq";6
941;12;"M328";"acq";6
1416;1;"M328";"acq";6
1416;2;"M328";"acq";6
1422;12;"M328";"acq";6
1456;12;"M328";"acq";6
1466;3;"M328";"acq";6
1473;12;"M328";"acq";6
1566;5;"M328";"acq";6
1704;12;"M328";"acq";6
1705;12;"M328";"acq";6
1712;1;"M328";"acq";6
1717;12;"M328";"acq";6
1761;1;"M328";"acq";6
1769;1;"M328";"acq";6
1773;12;"M328";"acq";6
1778;12;"M328";"acq";6
1783;12;"M328";"acq";6
1795;1;"M328";"acq";6
1798;1;"M328";"acq";6
1799;1;"M328";"acq";6
1805;1;"M328";"acq";6
1808;12;"M328";"acq";6
1854;12;"M328";"acq";6
1860;12;"M328";"acq";6
1864;1;"M328";"acq";6
1880;1;"M328";"acq";6
1884;12;"M328";"acq";6
1895;12;"M328";"acq";6
1903;1;"M328";"acq";6
1917;12;"M328";"acq";6
1939;1;"M328";"acq";6
1942;12;"M328";"acq";6
1957;1;"M328";"acq";6
1968;1;"M328";"acq";6
