"t";"evento";"sujeto";"fase";"sesion"
0;12;"M326";"acq";17
0;12;"M326";"acq";17
0;12;"M326";"acq";17
0;12;"M326";"acq";17
0;12;"M326";"acq";17
0;12;"M326";"acq";17
0;12;"M326";"acq";17
0;12;"M326";"acq";17
0;12;"M326";"acq";17
0;12;"M326";"acq";17
0;12;"M326";"acq";17
0;12;"M326";"acq";17
0;12;"M326";"acq";17
0;54;"M326";"acq";17
90;12;"M326";"acq";17
94;12;"M326";"acq";17
114;11;"M326";"acq";17
131;12;"M326";"acq";17
160;11;"M326";"acq";17
214;11;"M326";"acq";17
227;12;"M326";"acq";17
653;11;"M326";"acq";17
682;11;"M326";"acq";17
693;11;"M326";"acq";17
700;11;"M326";"acq";17
712;12;"M326";"acq";17
723;11;"M326";"acq";17
785;11;"M326";"acq";17
809;12;"M326";"acq";17
894;12;"M326";"acq";17
905;11;"M326";"acq";17
925;12;"M326";"acq";17
1176;11;"M326";"acq";17
1203;12;"M326";"acq";17
1408;11;"M326";"acq";17
1456;11;"M326";"acq";17
1518;11;"M326";"acq";17
1529;11;"M326";"acq";17
1542;11;"M326";"acq";17
1557;12;"M326";"acq";17
1657;12;"M326";"acq";17
1668;11;"M326";"acq";17
1696;11;"M326";"acq";17
1800;34;"M326";"acq";17
1900;51;"M326";"acq";17
1909;12;"M326";"acq";17
1917;12;"M326";"acq";17
2049;11;"M326";"acq";17
2330;11;"M326";"acq";17
2335;12;"M326";"acq";17
2476;11;"M326";"acq";17
2653;11;"M326";"acq";17
2653;21;"M326";"acq";17
2658;12;"M326";"acq";17
2700;12;"M326";"acq";17
2703;31;"M326";"acq";17
2803;5;"M326";"acq";17
3014;1;"M326";"acq";17
3080;1;"M326";"acq";17
3096;1;"M326";"acq";17
3115;1;"M326";"acq";17
3121;12;"M326";"acq";17
3122;12;"M326";"acq";17
3124;12;"M326";"acq";17
3134;1;"M326";"acq";17
3145;1;"M326";"acq";17
3149;1;"M326";"acq";17
3155;1;"M326";"acq";17
3158;1;"M326";"acq";17
3166;1;"M326";"acq";17
3188;1;"M326";"acq";17
3194;1;"M326";"acq";17
3201;1;"M326";"acq";17
3205;1;"M326";"acq";17
3211;1;"M326";"acq";17
3215;1;"M326";"acq";17
3231;1;"M326";"acq";17
3236;1;"M326";"acq";17
3241;1;"M326";"acq";17
3246;1;"M326";"acq";17
3252;12;"M326";"acq";17
3262;1;"M326";"acq";17
3274;1;"M326";"acq";17
3285;1;"M326";"acq";17
3288;1;"M326";"acq";17
3296;1;"M326";"acq";17
3313;1;"M326";"acq";17
3317;1;"M326";"acq";17
3325;1;"M326";"acq";17
3333;1;"M326";"acq";17
3342;1;"M326";"acq";17
3346;1;"M326";"acq";17
3351;1;"M326";"acq";17
