"t";"evento";"sujeto";"fase";"sesion"
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;12;"M332";"acq";14
0;51;"M332";"acq";14
85;12;"M332";"acq";14
90;12;"M332";"acq";14
93;12;"M332";"acq";14
98;12;"M332";"acq";14
113;12;"M332";"acq";14
124;12;"M332";"acq";14
127;12;"M332";"acq";14
131;12;"M332";"acq";14
135;12;"M332";"acq";14
149;12;"M332";"acq";14
180;12;"M332";"acq";14
183;12;"M332";"acq";14
657;11;"M332";"acq";14
657;21;"M332";"acq";14
661;12;"M332";"acq";14
707;31;"M332";"acq";14
737;12;"M332";"acq";14
742;12;"M332";"acq";14
742;12;"M332";"acq";14
758;12;"M332";"acq";14
770;12;"M332";"acq";14
783;12;"M332";"acq";14
788;12;"M332";"acq";14
796;12;"M332";"acq";14
802;12;"M332";"acq";14
807;51;"M332";"acq";14
811;12;"M332";"acq";14
818;12;"M332";"acq";14
821;12;"M332";"acq";14
826;12;"M332";"acq";14
829;12;"M332";"acq";14
833;12;"M332";"acq";14
834;12;"M332";"acq";14
838;12;"M332";"acq";14
843;12;"M332";"acq";14
845;12;"M332";"acq";14
849;12;"M332";"acq";14
854;12;"M332";"acq";14
859;12;"M332";"acq";14
861;12;"M332";"acq";14
878;11;"M332";"acq";14
881;11;"M332";"acq";14
886;12;"M332";"acq";14
890;12;"M332";"acq";14
899;12;"M332";"acq";14
919;11;"M332";"acq";14
921;11;"M332";"acq";14
924;12;"M332";"acq";14
938;12;"M332";"acq";14
1016;11;"M332";"acq";14
1018;11;"M332";"acq";14
1020;11;"M332";"acq";14
1025;12;"M332";"acq";14
1034;12;"M332";"acq";14
1043;12;"M332";"acq";14
1045;12;"M332";"acq";14
1057;12;"M332";"acq";14
1060;12;"M332";"acq";14
1066;12;"M332";"acq";14
1084;12;"M332";"acq";14
1099;11;"M332";"acq";14
1101;11;"M332";"acq";14
1112;11;"M332";"acq";14
1115;11;"M332";"acq";14
1136;11;"M332";"acq";14
1140;11;"M332";"acq";14
1146;11;"M332";"acq";14
1149;11;"M332";"acq";14
1153;11;"M332";"acq";14
1155;11;"M332";"acq";14
1159;11;"M332";"acq";14
1161;11;"M332";"acq";14
1164;11;"M332";"acq";14
1168;11;"M332";"acq";14
1173;11;"M332";"acq";14
1176;11;"M332";"acq";14
1178;11;"M332";"acq";14
1185;11;"M332";"acq";14
1203;11;"M332";"acq";14
1206;11;"M332";"acq";14
1208;11;"M332";"acq";14
1219;11;"M332";"acq";14
1228;11;"M332";"acq";14
1230;11;"M332";"acq";14
1233;11;"M332";"acq";14
1235;11;"M332";"acq";14
1240;11;"M332";"acq";14
1240;11;"M332";"acq";14
1255;11;"M332";"acq";14
1259;11;"M332";"acq";14
1261;11;"M332";"acq";14
1271;11;"M332";"acq";14
1273;11;"M332";"acq";14
1289;11;"M332";"acq";14
1294;11;"M332";"acq";14
1297;11;"M332";"acq";14
1299;11;"M332";"acq";14
1302;11;"M332";"acq";14
1305;11;"M332";"acq";14
1307;11;"M332";"acq";14
1309;11;"M332";"acq";14
1312;11;"M332";"acq";14
1322;11;"M332";"acq";14
1324;11;"M332";"acq";14
1326;11;"M332";"acq";14
1329;11;"M332";"acq";14
1336;11;"M332";"acq";14
1343;11;"M332";"acq";14
1351;11;"M332";"acq";14
1355;11;"M332";"acq";14
1357;11;"M332";"acq";14
1361;11;"M332";"acq";14
1367;11;"M332";"acq";14
1368;11;"M332";"acq";14
1372;11;"M332";"acq";14
1374;11;"M332";"acq";14
1380;11;"M332";"acq";14
1382;11;"M332";"acq";14
1384;11;"M332";"acq";14
1393;11;"M332";"acq";14
1399;11;"M332";"acq";14
1402;11;"M332";"acq";14
1403;11;"M332";"acq";14
1412;11;"M332";"acq";14
1412;21;"M332";"acq";14
1417;12;"M332";"acq";14
1462;31;"M332";"acq";14
1562;51;"M332";"acq";14
1747;12;"M332";"acq";14
1771;12;"M332";"acq";14
1785;12;"M332";"acq";14
1787;12;"M332";"acq";14
1788;12;"M332";"acq";14
1898;12;"M332";"acq";14
1908;11;"M332";"acq";14
1910;11;"M332";"acq";14
1911;11;"M332";"acq";14
1915;11;"M332";"acq";14
1917;11;"M332";"acq";14
1919;11;"M332";"acq";14
1924;11;"M332";"acq";14
1926;11;"M332";"acq";14
1930;11;"M332";"acq";14
1932;11;"M332";"acq";14
1935;11;"M332";"acq";14
1938;11;"M332";"acq";14
