"t";"evento";"sujeto";"fase";"sesion"
0;12;"M331";"acq";35
0;12;"M331";"acq";35
0;12;"M331";"acq";35
0;12;"M331";"acq";35
0;12;"M331";"acq";35
0;12;"M331";"acq";35
0;12;"M331";"acq";35
0;12;"M331";"acq";35
0;12;"M331";"acq";35
0;12;"M331";"acq";35
0;51;"M331";"acq";35
7;11;"M331";"acq";35
34;11;"M331";"acq";35
37;11;"M331";"acq";35
49;11;"M331";"acq";35
79;11;"M331";"acq";35
88;11;"M331";"acq";35
95;11;"M331";"acq";35
130;11;"M331";"acq";35
136;11;"M331";"acq";35
141;11;"M331";"acq";35
161;11;"M331";"acq";35
169;11;"M331";"acq";35
181;11;"M331";"acq";35
197;11;"M331";"acq";35
214;11;"M331";"acq";35
222;11;"M331";"acq";35
231;11;"M331";"acq";35
242;11;"M331";"acq";35
252;11;"M331";"acq";35
256;11;"M331";"acq";35
260;12;"M331";"acq";35
281;11;"M331";"acq";35
288;11;"M331";"acq";35
299;11;"M331";"acq";35
306;11;"M331";"acq";35
319;11;"M331";"acq";35
325;11;"M331";"acq";35
340;11;"M331";"acq";35
342;11;"M331";"acq";35
353;11;"M331";"acq";35
359;12;"M331";"acq";35
371;11;"M331";"acq";35
374;11;"M331";"acq";35
382;11;"M331";"acq";35
390;11;"M331";"acq";35
391;11;"M331";"acq";35
402;11;"M331";"acq";35
415;11;"M331";"acq";35
430;12;"M331";"acq";35
454;11;"M331";"acq";35
459;11;"M331";"acq";35
465;11;"M331";"acq";35
475;11;"M331";"acq";35
495;11;"M331";"acq";35
510;12;"M331";"acq";35
514;12;"M331";"acq";35
525;11;"M331";"acq";35
528;11;"M331";"acq";35
532;11;"M331";"acq";35
536;11;"M331";"acq";35
550;11;"M331";"acq";35
559;11;"M331";"acq";35
564;11;"M331";"acq";35
583;12;"M331";"acq";35
588;12;"M331";"acq";35
603;11;"M331";"acq";35
603;21;"M331";"acq";35
607;12;"M331";"acq";35
653;31;"M331";"acq";35
671;12;"M331";"acq";35
677;12;"M331";"acq";35
682;12;"M331";"acq";35
686;12;"M331";"acq";35
689;12;"M331";"acq";35
694;12;"M331";"acq";35
695;12;"M331";"acq";35
700;12;"M331";"acq";35
