"t";"evento";"sujeto";"fase";"sesion"
0;12;"M330";"acq";37
0;12;"M330";"acq";37
0;12;"M330";"acq";37
0;51;"M330";"acq";37
30;12;"M330";"acq";37
48;12;"M330";"acq";37
66;11;"M330";"acq";37
129;11;"M330";"acq";37
163;11;"M330";"acq";37
182;11;"M330";"acq";37
195;11;"M330";"acq";37
212;12;"M330";"acq";37
218;12;"M330";"acq";37
224;12;"M330";"acq";37
225;12;"M330";"acq";37
247;12;"M330";"acq";37
250;12;"M330";"acq";37
292;12;"M330";"acq";37
325;12;"M330";"acq";37
326;12;"M330";"acq";37
327;12;"M330";"acq";37
333;12;"M330";"acq";37
336;12;"M330";"acq";37
340;12;"M330";"acq";37
362;11;"M330";"acq";37
363;11;"M330";"acq";37
367;11;"M330";"acq";37
370;11;"M330";"acq";37
384;11;"M330";"acq";37
392;11;"M330";"acq";37
400;12;"M330";"acq";37
415;12;"M330";"acq";37
417;12;"M330";"acq";37
419;12;"M330";"acq";37
436;11;"M330";"acq";37
520;11;"M330";"acq";37
566;11;"M330";"acq";37
584;11;"M330";"acq";37
591;11;"M330";"acq";37
600;11;"M330";"acq";37
600;21;"M330";"acq";37
606;12;"M330";"acq";37
650;31;"M330";"acq";37
656;12;"M330";"acq";37
668;12;"M330";"acq";37
669;12;"M330";"acq";37
690;12;"M330";"acq";37
707;12;"M330";"acq";37
721;12;"M330";"acq";37
741;12;"M330";"acq";37
742;12;"M330";"acq";37
750;51;"M330";"acq";37
755;12;"M330";"acq";37
785;12;"M330";"acq";37
787;12;"M330";"acq";37
788;12;"M330";"acq";37
790;12;"M330";"acq";37
803;12;"M330";"acq";37
813;12;"M330";"acq";37
814;12;"M330";"acq";37
822;12;"M330";"acq";37
827;12;"M330";"acq";37
829;12;"M330";"acq";37
845;12;"M330";"acq";37
846;12;"M330";"acq";37
861;12;"M330";"acq";37
891;12;"M330";"acq";37
972;12;"M330";"acq";37
974;12;"M330";"acq";37
982;12;"M330";"acq";37
1008;12;"M330";"acq";37
1016;12;"M330";"acq";37
1027;12;"M330";"acq";37
1031;12;"M330";"acq";37
