"t";"evento";"sujeto";"fase";"sesion"
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;12;"M327";"acq";31
0;51;"M327";"acq";31
20;12;"M327";"acq";31
51;12;"M327";"acq";31
53;12;"M327";"acq";31
84;11;"M327";"acq";31
87;11;"M327";"acq";31
252;11;"M327";"acq";31
378;11;"M327";"acq";31
413;12;"M327";"acq";31
433;12;"M327";"acq";31
435;12;"M327";"acq";31
443;11;"M327";"acq";31
448;11;"M327";"acq";31
452;11;"M327";"acq";31
458;11;"M327";"acq";31
472;11;"M327";"acq";31
494;12;"M327";"acq";31
515;11;"M327";"acq";31
518;11;"M327";"acq";31
522;11;"M327";"acq";31
527;11;"M327";"acq";31
534;11;"M327";"acq";31
540;11;"M327";"acq";31
554;11;"M327";"acq";31
556;11;"M327";"acq";31
574;11;"M327";"acq";31
583;11;"M327";"acq";31
589;11;"M327";"acq";31
590;11;"M327";"acq";31
597;12;"M327";"acq";31
617;11;"M327";"acq";31
617;21;"M327";"acq";31
623;12;"M327";"acq";31
667;31;"M327";"acq";31
686;12;"M327";"acq";31
767;5;"M327";"acq";31
960;12;"M327";"acq";31
1017;1;"M327";"acq";31
1091;1;"M327";"acq";31
1167;12;"M327";"acq";31
1197;1;"M327";"acq";31
1209;1;"M327";"acq";31
1236;1;"M327";"acq";31
1243;12;"M327";"acq";31
1251;1;"M327";"acq";31
1254;1;"M327";"acq";31
1259;1;"M327";"acq";31
1282;1;"M327";"acq";31
1288;12;"M327";"acq";31
1306;1;"M327";"acq";31
1309;1;"M327";"acq";31
1315;1;"M327";"acq";31
1323;1;"M327";"acq";31
1325;1;"M327";"acq";31
1420;1;"M327";"acq";31
1420;2;"M327";"acq";31
1427;12;"M327";"acq";31
1470;3;"M327";"acq";31
1494;12;"M327";"acq";31
1496;12;"M327";"acq";31
1570;5;"M327";"acq";31
1575;12;"M327";"acq";31
1604;12;"M327";"acq";31
1606;12;"M327";"acq";31
1626;12;"M327";"acq";31
1634;12;"M327";"acq";31
1636;12;"M327";"acq";31
1856;12;"M327";"acq";31
1866;12;"M327";"acq";31
1873;1;"M327";"acq";31
1928;1;"M327";"acq";31
2002;12;"M327";"acq";31
2021;1;"M327";"acq";31
2028;1;"M327";"acq";31
2031;1;"M327";"acq";31
2034;1;"M327";"acq";31
2036;1;"M327";"acq";31
2064;1;"M327";"acq";31
2068;1;"M327";"acq";31
2076;1;"M327";"acq";31
2079;1;"M327";"acq";31
2087;1;"M327";"acq";31
2091;1;"M327";"acq";31
2094;1;"M327";"acq";31
2099;1;"M327";"acq";31
2104;1;"M327";"acq";31
2126;1;"M327";"acq";31
2142;1;"M327";"acq";31
2156;12;"M327";"acq";31
2167;1;"M327";"acq";31
2170;1;"M327";"acq";31
2176;1;"M327";"acq";31
2176;2;"M327";"acq";31
2183;12;"M327";"acq";31
2226;3;"M327";"acq";31
2257;12;"M327";"acq";31
2326;51;"M327";"acq";31
2880;12;"M327";"acq";31
