"t";"evento";"sujeto";"fase";"sesion"
0;54;"M330";"acq";2
9;11;"M330";"acq";2
9;14;"M330";"acq";2
283;12;"M330";"acq";2
299;11;"M330";"acq";2
299;14;"M330";"acq";2
309;11;"M330";"acq";2
309;14;"M330";"acq";2
312;11;"M330";"acq";2
312;14;"M330";"acq";2
315;11;"M330";"acq";2
315;14;"M330";"acq";2
325;11;"M330";"acq";2
325;14;"M330";"acq";2
328;11;"M330";"acq";2
328;14;"M330";"acq";2
331;11;"M330";"acq";2
331;14;"M330";"acq";2
345;11;"M330";"acq";2
345;14;"M330";"acq";2
363;11;"M330";"acq";2
363;14;"M330";"acq";2
373;12;"M330";"acq";2
378;12;"M330";"acq";2
390;11;"M330";"acq";2
390;14;"M330";"acq";2
393;11;"M330";"acq";2
393;14;"M330";"acq";2
404;11;"M330";"acq";2
404;14;"M330";"acq";2
408;11;"M330";"acq";2
408;14;"M330";"acq";2
440;11;"M330";"acq";2
440;14;"M330";"acq";2
464;11;"M330";"acq";2
464;14;"M330";"acq";2
488;11;"M330";"acq";2
488;14;"M330";"acq";2
490;11;"M330";"acq";2
490;14;"M330";"acq";2
502;11;"M330";"acq";2
502;14;"M330";"acq";2
505;11;"M330";"acq";2
505;14;"M330";"acq";2
510;11;"M330";"acq";2
510;14;"M330";"acq";2
516;11;"M330";"acq";2
516;14;"M330";"acq";2
521;11;"M330";"acq";2
521;14;"M330";"acq";2
590;11;"M330";"acq";2
590;14;"M330";"acq";2
594;11;"M330";"acq";2
594;14;"M330";"acq";2
598;12;"M330";"acq";2
621;12;"M330";"acq";2
630;11;"M330";"acq";2
630;14;"M330";"acq";2
638;11;"M330";"acq";2
638;14;"M330";"acq";2
650;11;"M330";"acq";2
650;14;"M330";"acq";2
720;11;"M330";"acq";2
720;14;"M330";"acq";2
727;11;"M330";"acq";2
727;14;"M330";"acq";2
1045;11;"M330";"acq";2
1045;14;"M330";"acq";2
1056;11;"M330";"acq";2
1056;14;"M330";"acq";2
1061;11;"M330";"acq";2
1061;14;"M330";"acq";2
1062;11;"M330";"acq";2
1062;14;"M330";"acq";2
1064;11;"M330";"acq";2
1064;14;"M330";"acq";2
1071;11;"M330";"acq";2
1071;14;"M330";"acq";2
1084;11;"M330";"acq";2
1084;14;"M330";"acq";2
1090;11;"M330";"acq";2
1090;14;"M330";"acq";2
1102;12;"M330";"acq";2
1107;12;"M330";"acq";2
1134;12;"M330";"acq";2
1139;12;"M330";"acq";2
1165;12;"M330";"acq";2
1168;12;"M330";"acq";2
1191;11;"M330";"acq";2
1191;14;"M330";"acq";2
1201;11;"M330";"acq";2
1201;14;"M330";"acq";2
1245;11;"M330";"acq";2
1245;14;"M330";"acq";2
1254;12;"M330";"acq";2
1274;11;"M330";"acq";2
1274;14;"M330";"acq";2
1276;11;"M330";"acq";2
1276;14;"M330";"acq";2
1351;11;"M330";"acq";2
1351;14;"M330";"acq";2
1371;11;"M330";"acq";2
1371;14;"M330";"acq";2
1375;11;"M330";"acq";2
1375;14;"M330";"acq";2
1406;11;"M330";"acq";2
1406;14;"M330";"acq";2
1410;11;"M330";"acq";2
1410;14;"M330";"acq";2
1415;11;"M330";"acq";2
1415;14;"M330";"acq";2
1419;11;"M330";"acq";2
1419;14;"M330";"acq";2
1431;11;"M330";"acq";2
1431;14;"M330";"acq";2
1480;12;"M330";"acq";2
1511;12;"M330";"acq";2
1526;12;"M330";"acq";2
1542;11;"M330";"acq";2
1542;14;"M330";"acq";2
1767;11;"M330";"acq";2
1767;14;"M330";"acq";2
1784;11;"M330";"acq";2
1784;14;"M330";"acq";2
1800;34;"M330";"acq";2
1803;12;"M330";"acq";2
1815;12;"M330";"acq";2
1900;51;"M330";"acq";2
2122;11;"M330";"acq";2
2400;12;"M330";"acq";2
2400;12;"M330";"acq";2
2450;12;"M330";"acq";2
2545;12;"M330";"acq";2
2788;11;"M330";"acq";2
2788;21;"M330";"acq";2
2793;12;"M330";"acq";2
2838;31;"M330";"acq";2
2898;12;"M330";"acq";2
2917;12;"M330";"acq";2
