"t";"evento";"sujeto";"fase";"sesion"
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;12;"M330";"acq";35
0;51;"M330";"acq";35
34;11;"M330";"acq";35
84;12;"M330";"acq";35
111;11;"M330";"acq";35
238;12;"M330";"acq";35
252;12;"M330";"acq";35
276;11;"M330";"acq";35
293;11;"M330";"acq";35
464;11;"M330";"acq";35
473;11;"M330";"acq";35
517;11;"M330";"acq";35
524;11;"M330";"acq";35
531;11;"M330";"acq";35
537;12;"M330";"acq";35
563;11;"M330";"acq";35
573;11;"M330";"acq";35
579;11;"M330";"acq";35
606;11;"M330";"acq";35
606;21;"M330";"acq";35
610;12;"M330";"acq";35
656;31;"M330";"acq";35
756;5;"M330";"acq";35
864;12;"M330";"acq";35
914;12;"M330";"acq";35
917;12;"M330";"acq";35
917;12;"M330";"acq";35
1277;1;"M330";"acq";35
1282;12;"M330";"acq";35
1309;1;"M330";"acq";35
1333;1;"M330";"acq";35
1335;1;"M330";"acq";35
1354;1;"M330";"acq";35
1358;1;"M330";"acq";35
1358;2;"M330";"acq";35
1364;12;"M330";"acq";35
1408;3;"M330";"acq";35
1508;5;"M330";"acq";35
1629;12;"M330";"acq";35
1631;12;"M330";"acq";35
1639;12;"M330";"acq";35
1880;12;"M330";"acq";35
1990;1;"M330";"acq";35
2031;1;"M330";"acq";35
2032;1;"M330";"acq";35
2034;1;"M330";"acq";35
2045;1;"M330";"acq";35
2048;1;"M330";"acq";35
2059;1;"M330";"acq";35
2061;1;"M330";"acq";35
2063;1;"M330";"acq";35
2065;1;"M330";"acq";35
2069;1;"M330";"acq";35
2071;1;"M330";"acq";35
2077;1;"M330";"acq";35
2083;1;"M330";"acq";35
2091;1;"M330";"acq";35
2102;1;"M330";"acq";35
2132;1;"M330";"acq";35
2132;2;"M330";"acq";35
2137;12;"M330";"acq";35
2182;3;"M330";"acq";35
2282;51;"M330";"acq";35
2466;11;"M330";"acq";35
2493;11;"M330";"acq";35
2497;11;"M330";"acq";35
2506;11;"M330";"acq";35
2604;11;"M330";"acq";35
2627;11;"M330";"acq";35
2635;11;"M330";"acq";35
2647;11;"M330";"acq";35
2688;11;"M330";"acq";35
2696;11;"M330";"acq";35
2701;11;"M330";"acq";35
2711;11;"M330";"acq";35
2718;11;"M330";"acq";35
2740;11;"M330";"acq";35
2753;11;"M330";"acq";35
2763;11;"M330";"acq";35
2765;11;"M330";"acq";35
2767;11;"M330";"acq";35
2773;11;"M330";"acq";35
2784;11;"M330";"acq";35
2833;11;"M330";"acq";35
2839;11;"M330";"acq";35
2855;11;"M330";"acq";35
2888;11;"M330";"acq";35
2888;21;"M330";"acq";35
2893;12;"M330";"acq";35
