"t";"evento";"sujeto";"fase";"sesion"
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;12;"M328";"acq";4
0;51;"M328";"acq";4
187;11;"M328";"acq";4
193;12;"M328";"acq";4
231;11;"M328";"acq";4
240;12;"M328";"acq";4
272;11;"M328";"acq";4
394;12;"M328";"acq";4
403;11;"M328";"acq";4
411;11;"M328";"acq";4
535;11;"M328";"acq";4
540;11;"M328";"acq";4
632;12;"M328";"acq";4
635;12;"M328";"acq";4
646;11;"M328";"acq";4
646;21;"M328";"acq";4
651;12;"M328";"acq";4
692;12;"M328";"acq";4
695;12;"M328";"acq";4
696;31;"M328";"acq";4
717;12;"M328";"acq";4
796;5;"M328";"acq";4
889;12;"M328";"acq";4
893;12;"M328";"acq";4
900;12;"M328";"acq";4
902;12;"M328";"acq";4
979;12;"M328";"acq";4
986;1;"M328";"acq";4
995;12;"M328";"acq";4
1009;12;"M328";"acq";4
1011;12;"M328";"acq";4
1012;12;"M328";"acq";4
1018;1;"M328";"acq";4
1026;1;"M328";"acq";4
1026;12;"M328";"acq";4
1043;12;"M328";"acq";4
1046;12;"M328";"acq";4
1050;12;"M328";"acq";4
1055;1;"M328";"acq";4
1060;1;"M328";"acq";4
1065;1;"M328";"acq";4
1071;1;"M328";"acq";4
1075;12;"M328";"acq";4
1092;12;"M328";"acq";4
1096;1;"M328";"acq";4
1100;1;"M328";"acq";4
1105;1;"M328";"acq";4
1109;12;"M328";"acq";4
1115;12;"M328";"acq";4
1117;12;"M328";"acq";4
1126;1;"M328";"acq";4
1129;1;"M328";"acq";4
1133;1;"M328";"acq";4
1141;1;"M328";"acq";4
1146;12;"M328";"acq";4
1168;12;"M328";"acq";4
1171;12;"M328";"acq";4
1172;12;"M328";"acq";4
1177;12;"M328";"acq";4
1181;1;"M328";"acq";4
1183;1;"M328";"acq";4
1189;12;"M328";"acq";4
1217;1;"M328";"acq";4
1226;12;"M328";"acq";4
1232;1;"M328";"acq";4
1248;1;"M328";"acq";4
1253;12;"M328";"acq";4
1298;1;"M328";"acq";4
1302;1;"M328";"acq";4
1308;1;"M328";"acq";4
1321;1;"M328";"acq";4
1332;1;"M328";"acq";4
1344;1;"M328";"acq";4
1350;1;"M328";"acq";4
1432;1;"M328";"acq";4
1432;2;"M328";"acq";4
1440;12;"M328";"acq";4
1467;12;"M328";"acq";4
1482;3;"M328";"acq";4
1582;5;"M328";"acq";4
1650;12;"M328";"acq";4
1655;12;"M328";"acq";4
1747;12;"M328";"acq";4
1928;12;"M328";"acq";4
1941;1;"M328";"acq";4
1951;1;"M328";"acq";4
1956;12;"M328";"acq";4
1968;12;"M328";"acq";4
1976;1;"M328";"acq";4
1982;1;"M328";"acq";4
1985;1;"M328";"acq";4
1994;12;"M328";"acq";4
2011;12;"M328";"acq";4
2014;12;"M328";"acq";4
2014;12;"M328";"acq";4
2020;1;"M328";"acq";4
2025;1;"M328";"acq";4
2030;1;"M328";"acq";4
2040;12;"M328";"acq";4
2065;1;"M328";"acq";4
2067;1;"M328";"acq";4
2069;1;"M328";"acq";4
2076;1;"M328";"acq";4
2081;1;"M328";"acq";4
2155;1;"M328";"acq";4
2161;12;"M328";"acq";4
2227;1;"M328";"acq";4
2227;2;"M328";"acq";4
2235;12;"M328";"acq";4
2269;12;"M328";"acq";4
2277;3;"M328";"acq";4
2377;51;"M328";"acq";4
2459;12;"M328";"acq";4
2726;11;"M328";"acq";4
2733;11;"M328";"acq";4
2750;12;"M328";"acq";4
