"t";"evento";"sujeto";"fase";"sesion"
0;12;"M331";"acq";22
0;12;"M331";"acq";22
0;12;"M331";"acq";22
0;12;"M331";"acq";22
0;12;"M331";"acq";22
0;12;"M331";"acq";22
0;51;"M331";"acq";22
17;11;"M331";"acq";22
22;12;"M331";"acq";22
51;11;"M331";"acq";22
59;11;"M331";"acq";22
65;12;"M331";"acq";22
81;11;"M331";"acq";22
96;12;"M331";"acq";22
116;11;"M331";"acq";22
177;11;"M331";"acq";22
183;11;"M331";"acq";22
202;11;"M331";"acq";22
223;11;"M331";"acq";22
229;12;"M331";"acq";22
239;11;"M331";"acq";22
253;11;"M331";"acq";22
268;11;"M331";"acq";22
273;11;"M331";"acq";22
278;11;"M331";"acq";22
286;11;"M331";"acq";22
320;11;"M331";"acq";22
338;11;"M331";"acq";22
346;11;"M331";"acq";22
368;11;"M331";"acq";22
392;11;"M331";"acq";22
407;11;"M331";"acq";22
414;11;"M331";"acq";22
421;11;"M331";"acq";22
441;11;"M331";"acq";22
451;11;"M331";"acq";22
459;11;"M331";"acq";22
469;11;"M331";"acq";22
480;11;"M331";"acq";22
489;11;"M331";"acq";22
500;11;"M331";"acq";22
504;11;"M331";"acq";22
522;11;"M331";"acq";22
549;12;"M331";"acq";22
566;11;"M331";"acq";22
584;11;"M331";"acq";22
589;12;"M331";"acq";22
672;12;"M331";"acq";22
673;12;"M331";"acq";22
713;11;"M331";"acq";22
713;21;"M331";"acq";22
718;12;"M331";"acq";22
763;31;"M331";"acq";22
776;12;"M331";"acq";22
794;12;"M331";"acq";22
809;12;"M331";"acq";22
816;12;"M331";"acq";22
818;12;"M331";"acq";22
818;12;"M331";"acq";22
831;12;"M331";"acq";22
862;12;"M331";"acq";22
863;5;"M331";"acq";22
909;12;"M331";"acq";22
910;12;"M331";"acq";22
1133;1;"M331";"acq";22
1226;12;"M331";"acq";22
1235;1;"M331";"acq";22
1242;1;"M331";"acq";22
1289;12;"M331";"acq";22
1295;1;"M331";"acq";22
1301;1;"M331";"acq";22
1313;1;"M331";"acq";22
1322;1;"M331";"acq";22
1323;1;"M331";"acq";22
1326;1;"M331";"acq";22
1332;1;"M331";"acq";22
1337;1;"M331";"acq";22
1346;1;"M331";"acq";22
1354;1;"M331";"acq";22
1361;1;"M331";"acq";22
1374;1;"M331";"acq";22
1376;1;"M331";"acq";22
1383;1;"M331";"acq";22
1398;1;"M331";"acq";22
1403;1;"M331";"acq";22
1410;1;"M331";"acq";22
1420;1;"M331";"acq";22
1423;1;"M331";"acq";22
1426;1;"M331";"acq";22
1429;1;"M331";"acq";22
1434;1;"M331";"acq";22
1439;1;"M331";"acq";22
1450;1;"M331";"acq";22
1455;1;"M331";"acq";22
1481;1;"M331";"acq";22
1481;2;"M331";"acq";22
1488;12;"M331";"acq";22
1531;3;"M331";"acq";22
1542;12;"M331";"acq";22
1544;12;"M331";"acq";22
1547;12;"M331";"acq";22
1582;12;"M331";"acq";22
1631;51;"M331";"acq";22
1853;11;"M331";"acq";22
1869;11;"M331";"acq";22
1873;12;"M331";"acq";22
1895;11;"M331";"acq";22
1910;11;"M331";"acq";22
1914;12;"M331";"acq";22
1930;11;"M331";"acq";22
1933;11;"M331";"acq";22
1940;11;"M331";"acq";22
1961;11;"M331";"acq";22
1971;12;"M331";"acq";22
2016;11;"M331";"acq";22
2032;11;"M331";"acq";22
2044;11;"M331";"acq";22
2055;11;"M331";"acq";22
2063;11;"M331";"acq";22
2078;11;"M331";"acq";22
2081;11;"M331";"acq";22
2087;11;"M331";"acq";22
2094;11;"M331";"acq";22
2103;11;"M331";"acq";22
2112;11;"M331";"acq";22
2118;11;"M331";"acq";22
2121;11;"M331";"acq";22
2127;11;"M331";"acq";22
2143;11;"M331";"acq";22
2160;11;"M331";"acq";22
2170;11;"M331";"acq";22
2180;11;"M331";"acq";22
2186;11;"M331";"acq";22
2191;12;"M331";"acq";22
2208;11;"M331";"acq";22
2212;11;"M331";"acq";22
2228;11;"M331";"acq";22
2238;11;"M331";"acq";22
2238;21;"M331";"acq";22
2243;12;"M331";"acq";22
2288;31;"M331";"acq";22
2291;12;"M331";"acq";22
2292;12;"M331";"acq";22
2296;12;"M331";"acq";22
2300;12;"M331";"acq";22
2303;12;"M331";"acq";22
2308;12;"M331";"acq";22
2309;12;"M331";"acq";22
2310;12;"M331";"acq";22
2324;12;"M331";"acq";22
2340;12;"M331";"acq";22
2366;12;"M331";"acq";22
2379;12;"M331";"acq";22
2380;12;"M331";"acq";22
2382;12;"M331";"acq";22
2388;5;"M331";"acq";22
2397;12;"M331";"acq";22
2401;12;"M331";"acq";22
2429;12;"M331";"acq";22
2767;1;"M331";"acq";22
2788;1;"M331";"acq";22
2822;1;"M331";"acq";22
2833;1;"M331";"acq";22
2847;1;"M331";"acq";22
2851;1;"M331";"acq";22
2856;1;"M331";"acq";22
2864;12;"M331";"acq";22
2880;1;"M331";"acq";22
2884;1;"M331";"acq";22
2888;1;"M331";"acq";22
2921;1;"M331";"acq";22
2934;1;"M331";"acq";22
2942;1;"M331";"acq";22
2945;1;"M331";"acq";22
2951;1;"M331";"acq";22
2964;1;"M331";"acq";22
2981;1;"M331";"acq";22
2983;1;"M331";"acq";22
2990;1;"M331";"acq";22
2990;2;"M331";"acq";22
2997;12;"M331";"acq";22
2997;12;"M331";"acq";22
3040;3;"M331";"acq";22
3046;12;"M331";"acq";22
3051;12;"M331";"acq";22
3053;12;"M331";"acq";22
3054;12;"M331";"acq";22
3060;12;"M331";"acq";22
3138;12;"M331";"acq";22
3140;51;"M331";"acq";22
3682;11;"M331";"acq";22
3695;11;"M331";"acq";22
3711;11;"M331";"acq";22
3718;11;"M331";"acq";22
3740;11;"M331";"acq";22
3746;11;"M331";"acq";22
3746;21;"M331";"acq";22
3752;12;"M331";"acq";22
3796;31;"M331";"acq";22
3805;12;"M331";"acq";22
3810;12;"M331";"acq";22
3813;12;"M331";"acq";22
3817;12;"M331";"acq";22
3896;51;"M331";"acq";22
4078;11;"M331";"acq";22
4201;11;"M331";"acq";22
4205;12;"M331";"acq";22
4221;12;"M331";"acq";22
4233;11;"M331";"acq";22
4243;11;"M331";"acq";22
4259;12;"M331";"acq";22
4273;11;"M331";"acq";22
4288;11;"M331";"acq";22
4296;11;"M331";"acq";22
4310;11;"M331";"acq";22
4414;11;"M331";"acq";22
4445;11;"M331";"acq";22
4465;11;"M331";"acq";22
4470;11;"M331";"acq";22
