"t";"evento";"sujeto";"fase";"sesion"
0;12;"M327";"acq";29
0;12;"M327";"acq";29
0;12;"M327";"acq";29
0;12;"M327";"acq";29
0;12;"M327";"acq";29
0;12;"M327";"acq";29
0;54;"M327";"acq";29
90;12;"M327";"acq";29
93;12;"M327";"acq";29
94;12;"M327";"acq";29
99;12;"M327";"acq";29
149;12;"M327";"acq";29
254;11;"M327";"acq";29
357;12;"M327";"acq";29
358;12;"M327";"acq";29
361;12;"M327";"acq";29
363;12;"M327";"acq";29
371;12;"M327";"acq";29
426;12;"M327";"acq";29
569;11;"M327";"acq";29
571;11;"M327";"acq";29
612;11;"M327";"acq";29
621;11;"M327";"acq";29
623;11;"M327";"acq";29
627;11;"M327";"acq";29
646;12;"M327";"acq";29
654;12;"M327";"acq";29
716;11;"M327";"acq";29
880;11;"M327";"acq";29
881;11;"M327";"acq";29
887;11;"M327";"acq";29
891;11;"M327";"acq";29
894;11;"M327";"acq";29
899;11;"M327";"acq";29
906;12;"M327";"acq";29
911;12;"M327";"acq";29
923;12;"M327";"acq";29
937;12;"M327";"acq";29
946;12;"M327";"acq";29
946;12;"M327";"acq";29
948;12;"M327";"acq";29
958;12;"M327";"acq";29
1024;11;"M327";"acq";29
1028;11;"M327";"acq";29
1036;11;"M327";"acq";29
1090;11;"M327";"acq";29
1096;11;"M327";"acq";29
1103;12;"M327";"acq";29
1142;12;"M327";"acq";29
1144;12;"M327";"acq";29
1160;11;"M327";"acq";29
1164;11;"M327";"acq";29
1168;11;"M327";"acq";29
1177;11;"M327";"acq";29
1196;11;"M327";"acq";29
1217;11;"M327";"acq";29
1225;11;"M327";"acq";29
1291;12;"M327";"acq";29
1309;11;"M327";"acq";29
1317;11;"M327";"acq";29
1325;11;"M327";"acq";29
1329;11;"M327";"acq";29
1339;11;"M327";"acq";29
1350;12;"M327";"acq";29
1372;12;"M327";"acq";29
1378;12;"M327";"acq";29
1381;12;"M327";"acq";29
1398;11;"M327";"acq";29
1402;11;"M327";"acq";29
1404;11;"M327";"acq";29
1410;11;"M327";"acq";29
1416;11;"M327";"acq";29
1424;11;"M327";"acq";29
1504;12;"M327";"acq";29
1552;12;"M327";"acq";29
1565;11;"M327";"acq";29
1575;11;"M327";"acq";29
1581;11;"M327";"acq";29
1623;11;"M327";"acq";29
1631;11;"M327";"acq";29
1645;12;"M327";"acq";29
1674;12;"M327";"acq";29
1675;12;"M327";"acq";29
1682;11;"M327";"acq";29
1691;11;"M327";"acq";29
1800;34;"M327";"acq";29
1900;5;"M327";"acq";29
2025;1;"M327";"acq";29
2104;1;"M327";"acq";29
2150;1;"M327";"acq";29
2254;1;"M327";"acq";29
2273;1;"M327";"acq";29
2321;1;"M327";"acq";29
2325;1;"M327";"acq";29
2333;1;"M327";"acq";29
2375;1;"M327";"acq";29
2383;12;"M327";"acq";29
2407;1;"M327";"acq";29
2412;1;"M327";"acq";29
2468;1;"M327";"acq";29
2478;1;"M327";"acq";29
2509;1;"M327";"acq";29
2509;2;"M327";"acq";29
2520;12;"M327";"acq";29
2559;3;"M327";"acq";29
2588;12;"M327";"acq";29
2590;12;"M327";"acq";29
2646;12;"M327";"acq";29
2648;12;"M327";"acq";29
2650;12;"M327";"acq";29
2651;12;"M327";"acq";29
2654;12;"M327";"acq";29
2656;12;"M327";"acq";29
2659;5;"M327";"acq";29
2662;12;"M327";"acq";29
2664;12;"M327";"acq";29
2673;12;"M327";"acq";29
2757;1;"M327";"acq";29
3156;12;"M327";"acq";29
3167;1;"M327";"acq";29
3266;12;"M327";"acq";29
3269;12;"M327";"acq";29
3288;12;"M327";"acq";29
3294;1;"M327";"acq";29
3294;2;"M327";"acq";29
3301;12;"M327";"acq";29
3344;3;"M327";"acq";29
3374;12;"M327";"acq";29
3438;12;"M327";"acq";29
3440;12;"M327";"acq";29
3442;12;"M327";"acq";29
3444;51;"M327";"acq";29
3495;12;"M327";"acq";29
3539;12;"M327";"acq";29
3543;12;"M327";"acq";29
3546;12;"M327";"acq";29
3548;12;"M327";"acq";29
3550;12;"M327";"acq";29
3629;12;"M327";"acq";29
3738;12;"M327";"acq";29
3743;12;"M327";"acq";29
3756;12;"M327";"acq";29
3784;12;"M327";"acq";29
3790;12;"M327";"acq";29
3806;12;"M327";"acq";29
3814;12;"M327";"acq";29
3817;12;"M327";"acq";29
3823;12;"M327";"acq";29
3835;12;"M327";"acq";29
3842;11;"M327";"acq";29
3858;11;"M327";"acq";29
3863;12;"M327";"acq";29
3888;11;"M327";"acq";29
3896;11;"M327";"acq";29
3898;11;"M327";"acq";29
3933;11;"M327";"acq";29
3938;11;"M327";"acq";29
3976;11;"M327";"acq";29
3979;11;"M327";"acq";29
4047;11;"M327";"acq";29
4047;21;"M327";"acq";29
4052;12;"M327";"acq";29
4097;31;"M327";"acq";29
4162;12;"M327";"acq";29
4197;51;"M327";"acq";29
4332;12;"M327";"acq";29
4354;12;"M327";"acq";29
4355;12;"M327";"acq";29
4389;12;"M327";"acq";29
4486;11;"M327";"acq";29
4747;11;"M327";"acq";29
4751;11;"M327";"acq";29
4753;11;"M327";"acq";29
4757;11;"M327";"acq";29
4761;11;"M327";"acq";29
4772;12;"M327";"acq";29
4859;11;"M327";"acq";29
4859;21;"M327";"acq";29
4865;12;"M327";"acq";29
4909;31;"M327";"acq";29
4961;12;"M327";"acq";29
4963;12;"M327";"acq";29
4965;12;"M327";"acq";29
4967;12;"M327";"acq";29
4968;12;"M327";"acq";29
5001;12;"M327";"acq";29
5003;12;"M327";"acq";29
5007;12;"M327";"acq";29
5009;5;"M327";"acq";29
5052;12;"M327";"acq";29
5072;12;"M327";"acq";29
5107;12;"M327";"acq";29
5108;12;"M327";"acq";29
5166;1;"M327";"acq";29
5404;12;"M327";"acq";29
5438;1;"M327";"acq";29
5447;12;"M327";"acq";29
5468;1;"M327";"acq";29
5479;1;"M327";"acq";29
5497;1;"M327";"acq";29
5504;1;"M327";"acq";29
5524;1;"M327";"acq";29
5526;1;"M327";"acq";29
5533;12;"M327";"acq";29
5546;1;"M327";"acq";29
5549;1;"M327";"acq";29
5564;1;"M327";"acq";29
5573;1;"M327";"acq";29
5577;1;"M327";"acq";29
5582;1;"M327";"acq";29
5583;1;"M327";"acq";29
5614;1;"M327";"acq";29
5614;2;"M327";"acq";29
5621;12;"M327";"acq";29
5664;3;"M327";"acq";29
5764;53;"M327";"acq";29
5846;12;"M327";"acq";29
5967;12;"M327";"acq";29
5969;12;"M327";"acq";29
5985;1;"M327";"acq";29
6132;1;"M327";"acq";29
6157;1;"M327";"acq";29
6164;12;"M327";"acq";29
6193;1;"M327";"acq";29
6207;1;"M327";"acq";29
6218;1;"M327";"acq";29
6274;1;"M327";"acq";29
6283;12;"M327";"acq";29
6307;1;"M327";"acq";29
6329;1;"M327";"acq";29
6333;1;"M327";"acq";29
6339;1;"M327";"acq";29
6415;1;"M327";"acq";29
6425;12;"M327";"acq";29
6441;1;"M327";"acq";29
6457;1;"M327";"acq";29
6489;1;"M327";"acq";29
6498;12;"M327";"acq";29
6521;1;"M327";"acq";29
6539;1;"M327";"acq";29
6542;1;"M327";"acq";29
6631;1;"M327";"acq";29
6692;1;"M327";"acq";29
