"t";"evento";"sujeto";"fase";"sesion"
0;12;"M331";"acq";18
0;12;"M331";"acq";18
0;12;"M331";"acq";18
0;12;"M331";"acq";18
0;12;"M331";"acq";18
0;12;"M331";"acq";18
0;12;"M331";"acq";18
0;12;"M331";"acq";18
0;12;"M331";"acq";18
0;12;"M331";"acq";18
0;12;"M331";"acq";18
0;54;"M331";"acq";18
39;12;"M331";"acq";18
43;12;"M331";"acq";18
45;12;"M331";"acq";18
45;12;"M331";"acq";18
55;11;"M331";"acq";18
157;11;"M331";"acq";18
229;11;"M331";"acq";18
238;12;"M331";"acq";18
238;12;"M331";"acq";18
250;11;"M331";"acq";18
252;11;"M331";"acq";18
260;12;"M331";"acq";18
285;11;"M331";"acq";18
299;11;"M331";"acq";18
307;11;"M331";"acq";18
328;11;"M331";"acq";18
331;11;"M331";"acq";18
350;11;"M331";"acq";18
353;11;"M331";"acq";18
393;11;"M331";"acq";18
396;11;"M331";"acq";18
401;11;"M331";"acq";18
411;11;"M331";"acq";18
418;11;"M331";"acq";18
424;12;"M331";"acq";18
428;12;"M331";"acq";18
442;11;"M331";"acq";18
446;11;"M331";"acq";18
449;11;"M331";"acq";18
453;11;"M331";"acq";18
455;11;"M331";"acq";18
459;11;"M331";"acq";18
474;12;"M331";"acq";18
487;12;"M331";"acq";18
495;11;"M331";"acq";18
503;11;"M331";"acq";18
509;11;"M331";"acq";18
520;11;"M331";"acq";18
525;11;"M331";"acq";18
529;11;"M331";"acq";18
531;11;"M331";"acq";18
539;12;"M331";"acq";18
578;11;"M331";"acq";18
581;11;"M331";"acq";18
593;11;"M331";"acq";18
600;11;"M331";"acq";18
601;11;"M331";"acq";18
606;11;"M331";"acq";18
610;11;"M331";"acq";18
620;12;"M331";"acq";18
635;11;"M331";"acq";18
639;11;"M331";"acq";18
644;11;"M331";"acq";18
663;11;"M331";"acq";18
671;11;"M331";"acq";18
677;11;"M331";"acq";18
681;11;"M331";"acq";18
685;11;"M331";"acq";18
691;11;"M331";"acq";18
697;12;"M331";"acq";18
702;12;"M331";"acq";18
709;12;"M331";"acq";18
747;11;"M331";"acq";18
749;11;"M331";"acq";18
753;11;"M331";"acq";18
772;11;"M331";"acq";18
778;11;"M331";"acq";18
796;11;"M331";"acq";18
811;11;"M331";"acq";18
815;11;"M331";"acq";18
828;11;"M331";"acq";18
832;11;"M331";"acq";18
840;11;"M331";"acq";18
855;11;"M331";"acq";18
862;11;"M331";"acq";18
865;11;"M331";"acq";18
877;12;"M331";"acq";18
883;11;"M331";"acq";18
885;11;"M331";"acq";18
888;11;"M331";"acq";18
894;11;"M331";"acq";18
913;11;"M331";"acq";18
918;11;"M331";"acq";18
937;12;"M331";"acq";18
975;12;"M331";"acq";18
993;11;"M331";"acq";18
996;11;"M331";"acq";18
1006;11;"M331";"acq";18
1013;12;"M331";"acq";18
1037;11;"M331";"acq";18
1068;11;"M331";"acq";18
1072;11;"M331";"acq";18
1205;11;"M331";"acq";18
1227;11;"M331";"acq";18
1234;11;"M331";"acq";18
1244;11;"M331";"acq";18
1257;11;"M331";"acq";18
1387;12;"M331";"acq";18
1412;11;"M331";"acq";18
1417;11;"M331";"acq";18
1420;11;"M331";"acq";18
1425;11;"M331";"acq";18
1431;11;"M331";"acq";18
1441;12;"M331";"acq";18
1525;11;"M331";"acq";18
1531;11;"M331";"acq";18
1538;11;"M331";"acq";18
1551;12;"M331";"acq";18
1572;12;"M331";"acq";18
1579;11;"M331";"acq";18
1581;11;"M331";"acq";18
1593;12;"M331";"acq";18
1632;12;"M331";"acq";18
1646;12;"M331";"acq";18
1667;12;"M331";"acq";18
1673;12;"M331";"acq";18
1709;12;"M331";"acq";18
1726;11;"M331";"acq";18
1735;11;"M331";"acq";18
1738;11;"M331";"acq";18
1743;12;"M331";"acq";18
1760;12;"M331";"acq";18
1763;12;"M331";"acq";18
1765;12;"M331";"acq";18
1775;12;"M331";"acq";18
1800;11;"M331";"acq";18
1800;34;"M331";"acq";18
1900;5;"M331";"acq";18
1911;1;"M331";"acq";18
1919;1;"M331";"acq";18
1939;1;"M331";"acq";18
1978;1;"M331";"acq";18
1982;1;"M331";"acq";18
1983;1;"M331";"acq";18
1990;1;"M331";"acq";18
1994;1;"M331";"acq";18
1996;1;"M331";"acq";18
2054;12;"M331";"acq";18
2065;1;"M331";"acq";18
2067;1;"M331";"acq";18
2073;1;"M331";"acq";18
2080;1;"M331";"acq";18
2083;1;"M331";"acq";18
2095;1;"M331";"acq";18
2100;1;"M331";"acq";18
2101;1;"M331";"acq";18
2104;1;"M331";"acq";18
2111;12;"M331";"acq";18
2122;1;"M331";"acq";18
2134;1;"M331";"acq";18
2140;1;"M331";"acq";18
2148;1;"M331";"acq";18
2157;12;"M331";"acq";18
2159;1;"M331";"acq";18
2162;12;"M331";"acq";18
2181;12;"M331";"acq";18
2193;12;"M331";"acq";18
2202;1;"M331";"acq";18
2205;1;"M331";"acq";18
2208;1;"M331";"acq";18
2220;1;"M331";"acq";18
2225;1;"M331";"acq";18
2230;1;"M331";"acq";18
2237;1;"M331";"acq";18
2244;1;"M331";"acq";18
2248;12;"M331";"acq";18
2278;1;"M331";"acq";18
2282;1;"M331";"acq";18
2287;1;"M331";"acq";18
2312;12;"M331";"acq";18
2418;12;"M331";"acq";18
2460;1;"M331";"acq";18
2520;2;"M331";"acq";18
2557;12;"M331";"acq";18
2570;3;"M331";"acq";18
2619;12;"M331";"acq";18
2662;12;"M331";"acq";18
2670;51;"M331";"acq";18
2705;12;"M331";"acq";18
2783;11;"M331";"acq";18
2859;12;"M331";"acq";18
2887;11;"M331";"acq";18
3053;11;"M331";"acq";18
3063;11;"M331";"acq";18
3070;12;"M331";"acq";18
3085;11;"M331";"acq";18
3130;11;"M331";"acq";18
3139;11;"M331";"acq";18
3145;11;"M331";"acq";18
3153;12;"M331";"acq";18
3167;11;"M331";"acq";18
3169;11;"M331";"acq";18
3177;11;"M331";"acq";18
3184;11;"M331";"acq";18
3187;11;"M331";"acq";18
3193;11;"M331";"acq";18
3201;11;"M331";"acq";18
3203;11;"M331";"acq";18
3211;11;"M331";"acq";18
3213;11;"M331";"acq";18
3216;11;"M331";"acq";18
3225;11;"M331";"acq";18
3238;11;"M331";"acq";18
3241;11;"M331";"acq";18
3251;11;"M331";"acq";18
3254;11;"M331";"acq";18
3266;11;"M331";"acq";18
3278;11;"M331";"acq";18
3283;11;"M331";"acq";18
3293;11;"M331";"acq";18
3298;11;"M331";"acq";18
3304;11;"M331";"acq";18
3304;21;"M331";"acq";18
3308;12;"M331";"acq";18
3354;31;"M331";"acq";18
3361;12;"M331";"acq";18
3362;12;"M331";"acq";18
3366;12;"M331";"acq";18
3369;12;"M331";"acq";18
3373;12;"M331";"acq";18
3374;12;"M331";"acq";18
3376;12;"M331";"acq";18
3376;12;"M331";"acq";18
3380;12;"M331";"acq";18
3381;12;"M331";"acq";18
3382;12;"M331";"acq";18
3385;12;"M331";"acq";18
3387;12;"M331";"acq";18
3390;12;"M331";"acq";18
3394;12;"M331";"acq";18
3395;12;"M331";"acq";18
3396;12;"M331";"acq";18
3401;12;"M331";"acq";18
3402;12;"M331";"acq";18
3403;12;"M331";"acq";18
3405;12;"M331";"acq";18
3407;12;"M331";"acq";18
3409;12;"M331";"acq";18
3414;12;"M331";"acq";18
3415;12;"M331";"acq";18
3425;12;"M331";"acq";18
3432;12;"M331";"acq";18
3436;12;"M331";"acq";18
3438;12;"M331";"acq";18
3439;12;"M331";"acq";18
3446;12;"M331";"acq";18
3451;12;"M331";"acq";18
3453;12;"M331";"acq";18
3454;12;"M331";"acq";18
3454;51;"M331";"acq";18
3733;11;"M331";"acq";18
3733;21;"M331";"acq";18
3737;12;"M331";"acq";18
3783;31;"M331";"acq";18
3822;12;"M331";"acq";18
3823;12;"M331";"acq";18
3834;12;"M331";"acq";18
3838;12;"M331";"acq";18
3840;12;"M331";"acq";18
3841;12;"M331";"acq";18
3845;12;"M331";"acq";18
3847;12;"M331";"acq";18
3852;12;"M331";"acq";18
3857;12;"M331";"acq";18
3859;12;"M331";"acq";18
3864;12;"M331";"acq";18
3866;12;"M331";"acq";18
