"t";"evento";"sujeto";"fase";"sesion"
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;12;"M327";"acq";1
0;51;"M327";"acq";1
136;11;"M327";"acq";1
150;11;"M327";"acq";1
157;12;"M327";"acq";1
242;12;"M327";"acq";1
244;12;"M327";"acq";1
261;11;"M327";"acq";1
273;12;"M327";"acq";1
319;11;"M327";"acq";1
325;11;"M327";"acq";1
329;11;"M327";"acq";1
331;11;"M327";"acq";1
335;12;"M327";"acq";1
360;12;"M327";"acq";1
383;11;"M327";"acq";1
388;11;"M327";"acq";1
394;11;"M327";"acq";1
399;11;"M327";"acq";1
407;11;"M327";"acq";1
409;11;"M327";"acq";1
427;11;"M327";"acq";1
437;11;"M327";"acq";1
439;11;"M327";"acq";1
443;11;"M327";"acq";1
482;12;"M327";"acq";1
500;11;"M327";"acq";1
506;11;"M327";"acq";1
509;11;"M327";"acq";1
514;11;"M327";"acq";1
516;11;"M327";"acq";1
541;12;"M327";"acq";1
548;11;"M327";"acq";1
548;21;"M327";"acq";1
553;12;"M327";"acq";1
598;31;"M327";"acq";1
603;12;"M327";"acq";1
698;51;"M327";"acq";1
772;12;"M327";"acq";1
772;12;"M327";"acq";1
800;12;"M327";"acq";1
813;12;"M327";"acq";1
818;12;"M327";"acq";1
939;12;"M327";"acq";1
957;12;"M327";"acq";1
967;12;"M327";"acq";1
968;12;"M327";"acq";1
1005;11;"M327";"acq";1
1007;11;"M327";"acq";1
1012;12;"M327";"acq";1
1072;11;"M327";"acq";1
1075;11;"M327";"acq";1
1078;11;"M327";"acq";1
1081;11;"M327";"acq";1
1091;11;"M327";"acq";1
1094;11;"M327";"acq";1
1097;11;"M327";"acq";1
1099;11;"M327";"acq";1
1106;11;"M327";"acq";1
1113;11;"M327";"acq";1
1122;11;"M327";"acq";1
1126;11;"M327";"acq";1
1130;11;"M327";"acq";1
1132;11;"M327";"acq";1
1139;11;"M327";"acq";1
1141;11;"M327";"acq";1
1145;11;"M327";"acq";1
1146;11;"M327";"acq";1
1154;12;"M327";"acq";1
1180;12;"M327";"acq";1
1200;11;"M327";"acq";1
1207;11;"M327";"acq";1
1209;11;"M327";"acq";1
1213;11;"M327";"acq";1
1218;11;"M327";"acq";1
1222;11;"M327";"acq";1
