"t";"evento";"sujeto";"fase";"sesion"
0;12;"M329";"acq";30
0;12;"M329";"acq";30
0;12;"M329";"acq";30
0;12;"M329";"acq";30
0;12;"M329";"acq";30
0;51;"M329";"acq";30
41;12;"M329";"acq";30
472;11;"M329";"acq";30
478;12;"M329";"acq";30
546;12;"M329";"acq";30
556;11;"M329";"acq";30
556;21;"M329";"acq";30
561;12;"M329";"acq";30
606;31;"M329";"acq";30
706;54;"M329";"acq";30
861;12;"M329";"acq";30
861;12;"M329";"acq";30
889;12;"M329";"acq";30
1429;12;"M329";"acq";30
1436;11;"M329";"acq";30
1439;11;"M329";"acq";30
1443;12;"M329";"acq";30
1498;12;"M329";"acq";30
1510;11;"M329";"acq";30
1514;11;"M329";"acq";30
1517;12;"M329";"acq";30
1528;12;"M329";"acq";30
1533;12;"M329";"acq";30
1541;12;"M329";"acq";30
1555;11;"M329";"acq";30
1559;11;"M329";"acq";30
1562;12;"M329";"acq";30
1576;12;"M329";"acq";30
1595;12;"M329";"acq";30
1604;11;"M329";"acq";30
1609;11;"M329";"acq";30
1611;11;"M329";"acq";30
1614;11;"M329";"acq";30
1616;11;"M329";"acq";30
1619;12;"M329";"acq";30
1624;12;"M329";"acq";30
1643;12;"M329";"acq";30
1660;11;"M329";"acq";30
1664;11;"M329";"acq";30
1666;11;"M329";"acq";30
1668;11;"M329";"acq";30
1669;11;"M329";"acq";30
1671;11;"M329";"acq";30
1674;11;"M329";"acq";30
1680;12;"M329";"acq";30
1697;12;"M329";"acq";30
1708;12;"M329";"acq";30
1719;12;"M329";"acq";30
1735;11;"M329";"acq";30
1737;11;"M329";"acq";30
1740;11;"M329";"acq";30
1743;11;"M329";"acq";30
1746;11;"M329";"acq";30
1754;11;"M329";"acq";30
1757;11;"M329";"acq";30
1762;11;"M329";"acq";30
1769;11;"M329";"acq";30
1776;11;"M329";"acq";30
1779;11;"M329";"acq";30
1782;11;"M329";"acq";30
1789;11;"M329";"acq";30
1794;12;"M329";"acq";30
1810;12;"M329";"acq";30
1815;12;"M329";"acq";30
1817;12;"M329";"acq";30
1832;11;"M329";"acq";30
1834;11;"M329";"acq";30
1836;11;"M329";"acq";30
1837;11;"M329";"acq";30
1842;12;"M329";"acq";30
2013;11;"M329";"acq";30
2015;11;"M329";"acq";30
2020;11;"M329";"acq";30
2024;11;"M329";"acq";30
2027;11;"M329";"acq";30
2117;12;"M329";"acq";30
2124;11;"M329";"acq";30
2126;11;"M329";"acq";30
2139;11;"M329";"acq";30
2414;11;"M329";"acq";30
2506;34;"M329";"acq";30
2606;5;"M329";"acq";30
2852;12;"M329";"acq";30
2862;12;"M329";"acq";30
2865;12;"M329";"acq";30
2881;1;"M329";"acq";30
3031;1;"M329";"acq";30
3038;12;"M329";"acq";30
3047;12;"M329";"acq";30
3050;12;"M329";"acq";30
3053;12;"M329";"acq";30
3062;12;"M329";"acq";30
3068;12;"M329";"acq";30
3086;12;"M329";"acq";30
3117;12;"M329";"acq";30
3117;12;"M329";"acq";30
3117;12;"M329";"acq";30
3119;12;"M329";"acq";30
3149;12;"M329";"acq";30
3151;12;"M329";"acq";30
3167;12;"M329";"acq";30
3183;12;"M329";"acq";30
3195;12;"M329";"acq";30
3199;12;"M329";"acq";30
3212;12;"M329";"acq";30
3225;1;"M329";"acq";30
3285;2;"M329";"acq";30
3293;12;"M329";"acq";30
3322;12;"M329";"acq";30
3335;3;"M329";"acq";30
3435;51;"M329";"acq";30
3594;12;"M329";"acq";30
3619;12;"M329";"acq";30
3982;11;"M329";"acq";30
3988;11;"M329";"acq";30
3995;12;"M329";"acq";30
4012;12;"M329";"acq";30
4018;11;"M329";"acq";30
4029;11;"M329";"acq";30
4037;12;"M329";"acq";30
4074;11;"M329";"acq";30
4078;11;"M329";"acq";30
4085;12;"M329";"acq";30
4103;12;"M329";"acq";30
4104;12;"M329";"acq";30
4111;12;"M329";"acq";30
4127;11;"M329";"acq";30
4127;21;"M329";"acq";30
4132;12;"M329";"acq";30
4177;31;"M329";"acq";30
4277;5;"M329";"acq";30
4771;12;"M329";"acq";30
5055;12;"M329";"acq";30
5062;1;"M329";"acq";30
5067;1;"M329";"acq";30
5071;1;"M329";"acq";30
5076;12;"M329";"acq";30
5089;12;"M329";"acq";30
5097;12;"M329";"acq";30
5104;12;"M329";"acq";30
5108;12;"M329";"acq";30
5120;12;"M329";"acq";30
5122;2;"M329";"acq";30
5125;12;"M329";"acq";30
5172;3;"M329";"acq";30
5272;51;"M329";"acq";30
5800;12;"M329";"acq";30
6192;12;"M329";"acq";30
6198;12;"M329";"acq";30
6206;11;"M329";"acq";30
6206;21;"M329";"acq";30
6210;12;"M329";"acq";30
6256;31;"M329";"acq";30
6356;51;"M329";"acq";30
6560;12;"M329";"acq";30
6746;11;"M329";"acq";30
6848;11;"M329";"acq";30
6869;11;"M329";"acq";30
6905;11;"M329";"acq";30
6910;11;"M329";"acq";30
6912;11;"M329";"acq";30
6916;12;"M329";"acq";30
6933;12;"M329";"acq";30
6936;12;"M329";"acq";30
6942;12;"M329";"acq";30
6943;12;"M329";"acq";30
6945;12;"M329";"acq";30
6952;11;"M329";"acq";30
