"t";"evento";"sujeto";"fase";"sesion"
0;12;"M331";"acq";29
0;12;"M331";"acq";29
0;12;"M331";"acq";29
0;51;"M331";"acq";29
199;11;"M331";"acq";29
206;12;"M331";"acq";29
232;11;"M331";"acq";29
246;11;"M331";"acq";29
249;11;"M331";"acq";29
255;12;"M331";"acq";29
283;11;"M331";"acq";29
288;11;"M331";"acq";29
296;12;"M331";"acq";29
329;11;"M331";"acq";29
332;11;"M331";"acq";29
335;11;"M331";"acq";29
365;11;"M331";"acq";29
449;12;"M331";"acq";29
458;11;"M331";"acq";29
469;11;"M331";"acq";29
475;11;"M331";"acq";29
486;11;"M331";"acq";29
494;11;"M331";"acq";29
499;11;"M331";"acq";29
506;11;"M331";"acq";29
514;11;"M331";"acq";29
520;12;"M331";"acq";29
540;11;"M331";"acq";29
540;21;"M331";"acq";29
546;12;"M331";"acq";29
590;31;"M331";"acq";29
598;12;"M331";"acq";29
599;12;"M331";"acq";29
600;12;"M331";"acq";29
605;12;"M331";"acq";29
607;12;"M331";"acq";29
686;12;"M331";"acq";29
688;12;"M331";"acq";29
690;5;"M331";"acq";29
702;12;"M331";"acq";29
735;12;"M331";"acq";29
970;12;"M331";"acq";29
991;12;"M331";"acq";29
1002;12;"M331";"acq";29
1007;12;"M331";"acq";29
1015;12;"M331";"acq";29
1023;1;"M331";"acq";29
1030;1;"M331";"acq";29
1035;12;"M331";"acq";29
1054;12;"M331";"acq";29
1069;12;"M331";"acq";29
1112;12;"M331";"acq";29
1112;12;"M331";"acq";29
1113;12;"M331";"acq";29
1113;12;"M331";"acq";29
1119;12;"M331";"acq";29
1127;1;"M331";"acq";29
1218;12;"M331";"acq";29
1229;1;"M331";"acq";29
1239;1;"M331";"acq";29
1246;1;"M331";"acq";29
1256;12;"M331";"acq";29
1270;12;"M331";"acq";29
1294;1;"M331";"acq";29
1299;1;"M331";"acq";29
1299;2;"M331";"acq";29
1304;12;"M331";"acq";29
1349;3;"M331";"acq";29
1360;12;"M331";"acq";29
1362;12;"M331";"acq";29
1439;12;"M331";"acq";29
1449;5;"M331";"acq";29
1452;12;"M331";"acq";29
1466;12;"M331";"acq";29
1600;12;"M331";"acq";29
1619;1;"M331";"acq";29
1713;1;"M331";"acq";29
1723;1;"M331";"acq";29
1730;12;"M331";"acq";29
1735;12;"M331";"acq";29
1769;1;"M331";"acq";29
1779;1;"M331";"acq";29
1782;1;"M331";"acq";29
1794;1;"M331";"acq";29
1800;12;"M331";"acq";29
1814;12;"M331";"acq";29
1831;1;"M331";"acq";29
1841;1;"M331";"acq";29
1848;1;"M331";"acq";29
1855;12;"M331";"acq";29
1878;12;"M331";"acq";29
1888;1;"M331";"acq";29
1907;1;"M331";"acq";29
1910;1;"M331";"acq";29
1922;1;"M331";"acq";29
1936;1;"M331";"acq";29
1938;1;"M331";"acq";29
1942;1;"M331";"acq";29
1946;1;"M331";"acq";29
1953;1;"M331";"acq";29
1958;12;"M331";"acq";29
1976;12;"M331";"acq";29
1988;1;"M331";"acq";29
2002;1;"M331";"acq";29
2008;1;"M331";"acq";29
2016;12;"M331";"acq";29
2037;12;"M331";"acq";29
2043;12;"M331";"acq";29
2055;1;"M331";"acq";29
2062;2;"M331";"acq";29
2068;12;"M331";"acq";29
2112;3;"M331";"acq";29
2125;12;"M331";"acq";29
2140;12;"M331";"acq";29
2150;12;"M331";"acq";29
2212;51;"M331";"acq";29
2240;12;"M331";"acq";29
2242;12;"M331";"acq";29
2247;12;"M331";"acq";29
2258;12;"M331";"acq";29
2306;11;"M331";"acq";29
2311;12;"M331";"acq";29
2312;12;"M331";"acq";29
2338;11;"M331";"acq";29
2356;11;"M331";"acq";29
2561;11;"M331";"acq";29
2569;11;"M331";"acq";29
2572;11;"M331";"acq";29
2577;12;"M331";"acq";29
2608;11;"M331";"acq";29
2611;11;"M331";"acq";29
2613;11;"M331";"acq";29
2616;11;"M331";"acq";29
2622;11;"M331";"acq";29
2686;11;"M331";"acq";29
2698;11;"M331";"acq";29
2705;11;"M331";"acq";29
2711;12;"M331";"acq";29
2728;11;"M331";"acq";29
2730;11;"M331";"acq";29
2732;11;"M331";"acq";29
2736;11;"M331";"acq";29
2756;11;"M331";"acq";29
2766;11;"M331";"acq";29
2773;11;"M331";"acq";29
2790;11;"M331";"acq";29
2797;11;"M331";"acq";29
2808;11;"M331";"acq";29
2815;11;"M331";"acq";29
2823;12;"M331";"acq";29
2831;11;"M331";"acq";29
2835;11;"M331";"acq";29
2835;21;"M331";"acq";29
