"t";"evento";"sujeto";"fase";"sesion"
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;12;"M333";"acq";3
0;54;"M333";"acq";3
9;12;"M333";"acq";3
60;12;"M333";"acq";3
62;12;"M333";"acq";3
69;12;"M333";"acq";3
111;12;"M333";"acq";3
124;12;"M333";"acq";3
130;12;"M333";"acq";3
139;12;"M333";"acq";3
141;12;"M333";"acq";3
158;12;"M333";"acq";3
163;12;"M333";"acq";3
163;12;"M333";"acq";3
178;11;"M333";"acq";3
181;12;"M333";"acq";3
183;12;"M333";"acq";3
183;12;"M333";"acq";3
209;12;"M333";"acq";3
218;12;"M333";"acq";3
227;12;"M333";"acq";3
229;12;"M333";"acq";3
230;12;"M333";"acq";3
238;12;"M333";"acq";3
240;12;"M333";"acq";3
