"t";"evento";"sujeto";"fase";"sesion"
0;12;"M332";"acq";26
0;12;"M332";"acq";26
0;51;"M332";"acq";26
118;12;"M332";"acq";26
149;11;"M332";"acq";26
154;12;"M332";"acq";26
180;12;"M332";"acq";26
201;11;"M332";"acq";26
202;11;"M332";"acq";26
218;11;"M332";"acq";26
338;11;"M332";"acq";26
342;11;"M332";"acq";26
344;11;"M332";"acq";26
346;11;"M332";"acq";26
349;11;"M332";"acq";26
353;11;"M332";"acq";26
357;11;"M332";"acq";26
360;11;"M332";"acq";26
366;11;"M332";"acq";26
367;11;"M332";"acq";26
373;11;"M332";"acq";26
375;11;"M332";"acq";26
376;11;"M332";"acq";26
380;11;"M332";"acq";26
381;11;"M332";"acq";26
382;11;"M332";"acq";26
387;11;"M332";"acq";26
388;11;"M332";"acq";26
391;11;"M332";"acq";26
395;11;"M332";"acq";26
400;11;"M332";"acq";26
401;11;"M332";"acq";26
403;11;"M332";"acq";26
408;11;"M332";"acq";26
409;11;"M332";"acq";26
411;11;"M332";"acq";26
416;11;"M332";"acq";26
426;11;"M332";"acq";26
429;11;"M332";"acq";26
431;11;"M332";"acq";26
436;11;"M332";"acq";26
442;11;"M332";"acq";26
445;11;"M332";"acq";26
447;11;"M332";"acq";26
456;11;"M332";"acq";26
460;11;"M332";"acq";26
463;11;"M332";"acq";26
467;11;"M332";"acq";26
469;11;"M332";"acq";26
470;11;"M332";"acq";26
471;11;"M332";"acq";26
472;11;"M332";"acq";26
476;11;"M332";"acq";26
480;11;"M332";"acq";26
483;11;"M332";"acq";26
485;11;"M332";"acq";26
487;11;"M332";"acq";26
489;11;"M332";"acq";26
494;11;"M332";"acq";26
500;11;"M332";"acq";26
503;11;"M332";"acq";26
509;11;"M332";"acq";26
510;11;"M332";"acq";26
515;11;"M332";"acq";26
516;11;"M332";"acq";26
520;11;"M332";"acq";26
532;11;"M332";"acq";26
534;11;"M332";"acq";26
551;11;"M332";"acq";26
551;21;"M332";"acq";26
557;12;"M332";"acq";26
586;12;"M332";"acq";26
601;31;"M332";"acq";26
701;51;"M332";"acq";26
710;12;"M332";"acq";26
710;12;"M332";"acq";26
956;12;"M332";"acq";26
993;12;"M332";"acq";26
994;12;"M332";"acq";26
1033;12;"M332";"acq";26
1052;12;"M332";"acq";26
1110;12;"M332";"acq";26
1114;12;"M332";"acq";26
1120;12;"M332";"acq";26
1135;12;"M332";"acq";26
1193;12;"M332";"acq";26
1198;12;"M332";"acq";26
1207;11;"M332";"acq";26
1210;11;"M332";"acq";26
1266;11;"M332";"acq";26
1266;21;"M332";"acq";26
1267;11;"M332";"acq";26
1270;12;"M332";"acq";26
1306;12;"M332";"acq";26
1316;31;"M332";"acq";26
1367;12;"M332";"acq";26
1369;12;"M332";"acq";26
1416;51;"M332";"acq";26
1537;12;"M332";"acq";26
1700;11;"M332";"acq";26
1715;12;"M332";"acq";26
1715;12;"M332";"acq";26
1736;11;"M332";"acq";26
1739;11;"M332";"acq";26
1740;11;"M332";"acq";26
1741;11;"M332";"acq";26
1742;11;"M332";"acq";26
1745;11;"M332";"acq";26
1750;11;"M332";"acq";26
1753;11;"M332";"acq";26
1754;11;"M332";"acq";26
1758;11;"M332";"acq";26
1764;11;"M332";"acq";26
1766;11;"M332";"acq";26
1777;11;"M332";"acq";26
1782;11;"M332";"acq";26
1785;11;"M332";"acq";26
1787;11;"M332";"acq";26
1789;11;"M332";"acq";26
1792;11;"M332";"acq";26
1794;11;"M332";"acq";26
1797;11;"M332";"acq";26
1800;11;"M332";"acq";26
1804;11;"M332";"acq";26
1808;11;"M332";"acq";26
1815;11;"M332";"acq";26
1817;11;"M332";"acq";26
1821;11;"M332";"acq";26
1835;11;"M332";"acq";26
1836;11;"M332";"acq";26
1842;11;"M332";"acq";26
1846;11;"M332";"acq";26
1848;11;"M332";"acq";26
1853;11;"M332";"acq";26
1855;11;"M332";"acq";26
1857;11;"M332";"acq";26
1860;11;"M332";"acq";26
1862;11;"M332";"acq";26
1882;11;"M332";"acq";26
1885;11;"M332";"acq";26
1887;11;"M332";"acq";26
1893;11;"M332";"acq";26
1896;11;"M332";"acq";26
1897;11;"M332";"acq";26
1899;11;"M332";"acq";26
1902;11;"M332";"acq";26
1904;11;"M332";"acq";26
1907;11;"M332";"acq";26
