"t";"evento";"sujeto";"fase";"sesion"
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;12;"M330";"acq";22
0;51;"M330";"acq";22
34;12;"M330";"acq";22
113;12;"M330";"acq";22
139;11;"M330";"acq";22
180;12;"M330";"acq";22
207;11;"M330";"acq";22
219;11;"M330";"acq";22
233;12;"M330";"acq";22
259;12;"M330";"acq";22
267;11;"M330";"acq";22
275;11;"M330";"acq";22
278;11;"M330";"acq";22
284;11;"M330";"acq";22
299;11;"M330";"acq";22
303;11;"M330";"acq";22
310;11;"M330";"acq";22
322;12;"M330";"acq";22
326;12;"M330";"acq";22
355;12;"M330";"acq";22
370;11;"M330";"acq";22
377;11;"M330";"acq";22
378;11;"M330";"acq";22
384;11;"M330";"acq";22
394;11;"M330";"acq";22
399;11;"M330";"acq";22
415;12;"M330";"acq";22
420;12;"M330";"acq";22
448;11;"M330";"acq";22
462;11;"M330";"acq";22
465;11;"M330";"acq";22
467;11;"M330";"acq";22
472;11;"M330";"acq";22
478;11;"M330";"acq";22
480;11;"M330";"acq";22
483;11;"M330";"acq";22
486;11;"M330";"acq";22
542;11;"M330";"acq";22
542;21;"M330";"acq";22
546;12;"M330";"acq";22
592;31;"M330";"acq";22
692;51;"M330";"acq";22
840;12;"M330";"acq";22
841;12;"M330";"acq";22
865;12;"M330";"acq";22
867;12;"M330";"acq";22
869;12;"M330";"acq";22
872;12;"M330";"acq";22
874;12;"M330";"acq";22
876;12;"M330";"acq";22
878;12;"M330";"acq";22
879;12;"M330";"acq";22
881;12;"M330";"acq";22
904;12;"M330";"acq";22
928;12;"M330";"acq";22
1014;12;"M330";"acq";22
1016;12;"M330";"acq";22
1017;12;"M330";"acq";22
1045;12;"M330";"acq";22
1051;12;"M330";"acq";22
1078;12;"M330";"acq";22
1091;12;"M330";"acq";22
1101;11;"M330";"acq";22
1112;12;"M330";"acq";22
1114;12;"M330";"acq";22
1115;12;"M330";"acq";22
1117;12;"M330";"acq";22
1126;12;"M330";"acq";22
1128;12;"M330";"acq";22
1135;12;"M330";"acq";22
1148;12;"M330";"acq";22
1181;12;"M330";"acq";22
1211;12;"M330";"acq";22
1217;12;"M330";"acq";22
1220;12;"M330";"acq";22
1226;12;"M330";"acq";22
1229;12;"M330";"acq";22
1232;12;"M330";"acq";22
1260;12;"M330";"acq";22
1293;11;"M330";"acq";22
1293;21;"M330";"acq";22
1297;12;"M330";"acq";22
1343;31;"M330";"acq";22
1443;5;"M330";"acq";22
1489;12;"M330";"acq";22
1490;12;"M330";"acq";22
1498;12;"M330";"acq";22
1500;12;"M330";"acq";22
1501;12;"M330";"acq";22
1517;12;"M330";"acq";22
1519;12;"M330";"acq";22
1521;12;"M330";"acq";22
1525;12;"M330";"acq";22
1527;12;"M330";"acq";22
1529;12;"M330";"acq";22
1531;12;"M330";"acq";22
1542;12;"M330";"acq";22
1551;12;"M330";"acq";22
1583;12;"M330";"acq";22
1592;12;"M330";"acq";22
1624;12;"M330";"acq";22
1651;12;"M330";"acq";22
1665;12;"M330";"acq";22
1666;12;"M330";"acq";22
1702;1;"M330";"acq";22
1705;1;"M330";"acq";22
1710;1;"M330";"acq";22
1716;1;"M330";"acq";22
1723;12;"M330";"acq";22
1745;1;"M330";"acq";22
1755;1;"M330";"acq";22
1763;1;"M330";"acq";22
1787;12;"M330";"acq";22
1816;1;"M330";"acq";22
1820;1;"M330";"acq";22
1822;1;"M330";"acq";22
1826;1;"M330";"acq";22
1830;1;"M330";"acq";22
1835;1;"M330";"acq";22
1843;1;"M330";"acq";22
1851;12;"M330";"acq";22
1870;12;"M330";"acq";22
