"t";"evento";"sujeto";"fase";"sesion"
0;12;"M331";"acq";26
0;51;"M331";"acq";26
36;12;"M331";"acq";26
56;11;"M331";"acq";26
147;11;"M331";"acq";26
165;12;"M331";"acq";26
173;12;"M331";"acq";26
189;11;"M331";"acq";26
214;12;"M331";"acq";26
232;11;"M331";"acq";26
236;11;"M331";"acq";26
239;11;"M331";"acq";26
294;12;"M331";"acq";26
296;12;"M331";"acq";26
311;11;"M331";"acq";26
315;11;"M331";"acq";26
357;11;"M331";"acq";26
364;11;"M331";"acq";26
376;11;"M331";"acq";26
380;12;"M331";"acq";26
393;12;"M331";"acq";26
409;11;"M331";"acq";26
417;11;"M331";"acq";26
432;12;"M331";"acq";26
438;12;"M331";"acq";26
441;12;"M331";"acq";26
454;12;"M331";"acq";26
471;11;"M331";"acq";26
540;11;"M331";"acq";26
540;21;"M331";"acq";26
544;12;"M331";"acq";26
590;31;"M331";"acq";26
596;12;"M331";"acq";26
597;12;"M331";"acq";26
603;12;"M331";"acq";26
605;12;"M331";"acq";26
607;12;"M331";"acq";26
609;12;"M331";"acq";26
612;12;"M331";"acq";26
677;12;"M331";"acq";26
690;54;"M331";"acq";26
1119;12;"M331";"acq";26
1129;12;"M331";"acq";26
1137;11;"M331";"acq";26
1142;11;"M331";"acq";26
1153;12;"M331";"acq";26
1172;11;"M331";"acq";26
1176;11;"M331";"acq";26
1184;11;"M331";"acq";26
1204;11;"M331";"acq";26
1208;11;"M331";"acq";26
1229;11;"M331";"acq";26
1233;11;"M331";"acq";26
1243;11;"M331";"acq";26
1252;12;"M331";"acq";26
1266;12;"M331";"acq";26
1280;12;"M331";"acq";26
1291;11;"M331";"acq";26
1302;11;"M331";"acq";26
1313;11;"M331";"acq";26
1324;11;"M331";"acq";26
1328;12;"M331";"acq";26
1342;12;"M331";"acq";26
1360;11;"M331";"acq";26
1363;11;"M331";"acq";26
1367;11;"M331";"acq";26
1374;11;"M331";"acq";26
1382;11;"M331";"acq";26
1387;12;"M331";"acq";26
1399;12;"M331";"acq";26
1426;11;"M331";"acq";26
1443;11;"M331";"acq";26
1446;11;"M331";"acq";26
1451;11;"M331";"acq";26
1456;11;"M331";"acq";26
1466;12;"M331";"acq";26
1489;11;"M331";"acq";26
1499;11;"M331";"acq";26
1504;11;"M331";"acq";26
1515;12;"M331";"acq";26
1520;12;"M331";"acq";26
1535;12;"M331";"acq";26
1542;11;"M331";"acq";26
1545;11;"M331";"acq";26
1566;11;"M331";"acq";26
1570;11;"M331";"acq";26
1580;11;"M331";"acq";26
1587;11;"M331";"acq";26
1590;11;"M331";"acq";26
1594;11;"M331";"acq";26
1598;12;"M331";"acq";26
1609;12;"M331";"acq";26
1611;12;"M331";"acq";26
1624;11;"M331";"acq";26
1627;11;"M331";"acq";26
