"t";"evento";"sujeto";"fase";"sesion"
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;12;"M332";"acq";4
0;51;"M332";"acq";4
42;11;"M332";"acq";4
44;11;"M332";"acq";4
46;11;"M332";"acq";4
67;12;"M332";"acq";4
146;11;"M332";"acq";4
152;12;"M332";"acq";4
216;11;"M332";"acq";4
218;11;"M332";"acq";4
218;11;"M332";"acq";4
223;11;"M332";"acq";4
225;11;"M332";"acq";4
234;11;"M332";"acq";4
236;11;"M332";"acq";4
239;11;"M332";"acq";4
243;11;"M332";"acq";4
253;11;"M332";"acq";4
256;11;"M332";"acq";4
257;11;"M332";"acq";4
259;11;"M332";"acq";4
261;11;"M332";"acq";4
269;11;"M332";"acq";4
271;11;"M332";"acq";4
277;11;"M332";"acq";4
280;11;"M332";"acq";4
281;11;"M332";"acq";4
285;11;"M332";"acq";4
287;11;"M332";"acq";4
289;11;"M332";"acq";4
290;11;"M332";"acq";4
304;11;"M332";"acq";4
307;11;"M332";"acq";4
308;11;"M332";"acq";4
318;11;"M332";"acq";4
323;11;"M332";"acq";4
324;11;"M332";"acq";4
327;11;"M332";"acq";4
329;11;"M332";"acq";4
330;11;"M332";"acq";4
336;11;"M332";"acq";4
342;11;"M332";"acq";4
352;11;"M332";"acq";4
353;11;"M332";"acq";4
355;11;"M332";"acq";4
362;11;"M332";"acq";4
365;11;"M332";"acq";4
366;11;"M332";"acq";4
368;11;"M332";"acq";4
375;11;"M332";"acq";4
378;11;"M332";"acq";4
380;11;"M332";"acq";4
384;11;"M332";"acq";4
387;11;"M332";"acq";4
401;11;"M332";"acq";4
410;11;"M332";"acq";4
414;11;"M332";"acq";4
415;11;"M332";"acq";4
417;11;"M332";"acq";4
419;11;"M332";"acq";4
421;11;"M332";"acq";4
427;11;"M332";"acq";4
434;11;"M332";"acq";4
440;11;"M332";"acq";4
442;11;"M332";"acq";4
450;11;"M332";"acq";4
452;11;"M332";"acq";4
455;11;"M332";"acq";4
462;11;"M332";"acq";4
465;11;"M332";"acq";4
467;11;"M332";"acq";4
473;11;"M332";"acq";4
478;11;"M332";"acq";4
479;11;"M332";"acq";4
481;11;"M332";"acq";4
484;11;"M332";"acq";4
491;11;"M332";"acq";4
512;11;"M332";"acq";4
516;11;"M332";"acq";4
522;11;"M332";"acq";4
531;11;"M332";"acq";4
534;11;"M332";"acq";4
541;11;"M332";"acq";4
541;21;"M332";"acq";4
546;12;"M332";"acq";4
591;31;"M332";"acq";4
691;5;"M332";"acq";4
728;12;"M332";"acq";4
841;12;"M332";"acq";4
852;12;"M332";"acq";4
864;12;"M332";"acq";4
953;12;"M332";"acq";4
958;12;"M332";"acq";4
960;12;"M332";"acq";4
962;12;"M332";"acq";4
990;12;"M332";"acq";4
999;12;"M332";"acq";4
1000;12;"M332";"acq";4
1016;12;"M332";"acq";4
1021;12;"M332";"acq";4
1024;12;"M332";"acq";4
1106;12;"M332";"acq";4
1108;12;"M332";"acq";4
1126;12;"M332";"acq";4
1130;12;"M332";"acq";4
1173;1;"M332";"acq";4
1181;12;"M332";"acq";4
1186;12;"M332";"acq";4
1198;1;"M332";"acq";4
1205;1;"M332";"acq";4
1212;1;"M332";"acq";4
1215;1;"M332";"acq";4
1217;1;"M332";"acq";4
1220;1;"M332";"acq";4
1224;1;"M332";"acq";4
1227;1;"M332";"acq";4
1228;1;"M332";"acq";4
1229;1;"M332";"acq";4
1239;1;"M332";"acq";4
1244;1;"M332";"acq";4
1252;1;"M332";"acq";4
1254;1;"M332";"acq";4
1255;1;"M332";"acq";4
1258;1;"M332";"acq";4
1260;1;"M332";"acq";4
1262;1;"M332";"acq";4
1264;1;"M332";"acq";4
1274;1;"M332";"acq";4
